store_name,address,city,state,zip_code,phone_number,email,website
The Tranquil Spa,"295 East 29th St, Ste 130",Loveland,Colorado,,(970) 657-4227,TheTranquilSpa@gmail.com,TheTranquilSpa.com
Feelin' & Lookin' Good,"6914 E Fowler Ave, Ste A",Tampa,FL,,(813) 957-0454,facialhealth@verizon.net,http://feelinlookingood.com/
Relax Station Spa,"12345 S. Memorial Dr., Ste. 113",Bixby,OK,,918-364-1250,info.relaxed.u@gmail.com,www.relaxed-u.com
Terra Pure Skin Spa,"300 E. John Street, Ste. 146",Matthews,NC,,704-702-6117,terrapureskinspa@gmail.com,www.terrapureskin.com
Lugn Esthetics,"1200 W.Eleventh Street, STE. 231",Traverse City,MI,,(231) 357-0553,lugnesthetics@gmail.com,https://www.lugnesthetics.com/
Elan Esthetics,"2635 Kent Avenue, Suite #102",Ames,IA,,(515) 450-8259,esthiwithlexi@gmail.com,https://www.vagaro.com/us04/elanspa/services
Beautifully Bare LV,"9765 W. Charleston Blvd., Suite #104",Las Vegas,Nevada,,702-445-8799,,
Premier Medspa,"2001 North Collins Blvd, Suite #105",Richardson,TX,,(214) 730-6300,Katy@premiermedspatx.com,https://premiermedspatx.com/
Strut Spalontique,"5 Metro Park Road, Suite #4",Albany,NY,,(518) 458-8788,strutspalontique@hotmail.com,http://www.strutspalontique.com/
Blush Aesthetic Spa,"307 West Winnie Lane, Suite #6",Carson City,Nevada,,7754303918,Blushcarsoncity@gmail.com,Www.blushcarsoncity.com
The Royal Treatment,"2523 Railroad Avenue, Suite #6",Bismarck,ND,,707-400-5937,sonyakaiser@msn.com,
Skin Solutions MedSpa LLC,"4239 Penn Ave, Suite #7 (rear of building)",Sinking Spring,PA,,(610) 370-7000,contactus@skinsolutionsmedspallc.com,https://skinsolutionsmedspallc.com
Beyond Beauty Skin Therapy,"1924 Market Street, Suite 1",Camp Hill,PA,,(717)695-6583,beyondbeautyskintherapy@gmail.com,https://www.beyondbeautyskintherapy.com/
Wild Beauty Cosmetics,"4630 Soquel Drive, Suite 1",Soquel,CA,,831-247-6215,danielle@wildbeautycosmetics.com,wildbeautycosmetics.com
The Skin Connect,"154 Orchard St., Suite 1",New York,NY,,3478211444,natalie@theskinconnect.com,http://theskinconnect.com/
The Lavender Bar,"1630 Buford Highway, Suite 10",Buford,GA,,(678) 765-7055,support@thelavenderbar.com,http://www.thelavenderbar.com/
Seneca Resorts & Casino,"6000 Packard Road, Suite 100",Niagara Falls,NY,,(716) 501-2872,ap@senecacasinos.com,https://senecaniagaracasino.com/
"Advanced Dermatology Associates, LTD","1259 S Cedar Crest Blvd, Suite 100",Allentown,PA,,6104374134,info@adaltd.com,www.adaltd.com
North Georgia Skin Solutions,"24 Waleska Street, Suite 100",Canton,GA,,4703485086,ngaskinsolutions@gmail.com,www.northgeorgiaskinsolutions.com
Tranquil Radiance Spa,"10800 N. Military Trail, Suite 101",Palm Beach Gardens,Florida,,561-758-9635,tranquilradiancespa@gmail.com,www.tranquilradiancespa.com
élan spa & lash bar,"2635 Kent Ave, Suite 102",Ames,IA,,515-450-8259,elanspa.ames@gmail.com,http://elanspalash.com
Happie Soul Wellness,"5000 Lenker Street, Suite 103",Mechanicsburg,PA,,(717) 254-7250,Admin@happiesoul.me,
IMR Massage,"8872 South Eastern Avenue, Suite 103",Las Vegas,NV,,(702) 482-8585,Erica@IMRmassage.com,https://imrmassage.com/
Refresh Med Spa,"1401 Blair Street, Suite 103",Hollidaysburg,PA,,8143175334,therefreshmedspa@gmail.com,http://www.radiancedayspa.net/
208 Massage & Spa,"714 W Appleway Ave 
Suite 102",Coeur d’Alene,ID,,2086277243,info@208massageandspa.com,www.208MassageAndSpa.com
Halo Aesthetics,"664 SE Bayberry lane, Suite 104",Lees Summit,Missouri,,816-269-9591,,
"Sherry Lentfer, OD - Katmai Eye and Vision Center/Neuro Vision Performance Center","12570 Old Seward Hwy, Suite 104",Anchorage,Alaska,,907 334-3937,,https://katmaieye.com/
Riviera Spa - Dallas,"4514 Travis Street, Suite 105",Dallas,TX,,(214) 521-2112,manager-tw@rivieraspa.com,https://rivieraspadallas.com/
Thee Bestetician,"5170 S 76th Street, Suite 105",Greenfield,WI,,4144361981,shante@theebestetician.com,https://www.vagaro.com/theebestetician
Alivio Health,"5045 Old Hickory Blvd, Suite 105",Hermitage,TN,,6159647307,Sm@aliviohealth.org,https://AlivioHealth.org
Cici Skincare,"6701 Sunset Drive, Suite 105",Miami,FL,,3054984500,Hello@ciciskincare.com,www.ciciskincare.com
"Pampered Services, LTD. (located in Salon Concepts Dent)","6701 Ruwes Oak Drive, Suite 108",Cincinnati,Ohio,,5136462902,michelle@pamperedservicesltd.com,https://pamperedservicesltd.com/
Skin Trust,"7350 West College Drive, Suite 108",Palos Heights,IL,,708-541-9191,jill@skintrust.net,
Glogetter Aesthetics,"726 E Emma Avenue, Suite 108A",Springdale,AR,,(479) 422-2948,glogetteraesthetics@gmail.com,
Sunshine Esthetics,"15830 E Imperial Hwy, Suite 11",La Mirada,CA,,562774333,Info@sunshine-esthetics.com,
The Facial Studio by Ira,"313 S. Main St., Suite 110",Kannapolis,NC,,(704) 467-4950,,
Lavish Hair Studio,"1212 US HWY 80 East, Suite 1100",Pooler,GA,,(912)348-3053,,https://lavishhairpooler.com/
Bella Noor Skincare,"30 East 60th, suite 1103",NY,NY,,1-347-476-8772,info@bellanoorskincare.com,http://www.bellanoorskin.com/
ANU Beauty and Wellness Bar,"4220 Cartwright Rd, Suite 1104",Missouri City,Texas,,8328744498,,
Megan Marlene Skincare,"609 N Pacific Coast Hwy, Suite 111",Redondo Beach,CA,,(310) 962-2895,meganmarleneskincare@gmail.com,
Fire & Ice Cryo Med Spa,"650 S. Jefferson Ave, Suite 112",Cookeville,TN,,(931) 559-3473,,https://www.fireicemedspa.com/
Jeremy Stephens Salon,"5220 Peridot Place, Suite 116",Hoover,AL,,2054020022,Jeremystephenssalon@gmail.com,Www.jeremystephensbrand.com
Our Little Secret Aesthetics,"6309 Corporate Ct., Suite 120",Fort Myers,FL,,908-216-2743,drjules@ourlittlesecretaesthetics.com,http://www.ourlittlesecretaesthetics.com/
Rebecca Leanne Esthetics,"25109 Jefferson Avenue, Suite 120",Murrieta,CA,,7605768574,rebesthetics@gmail.com,
Avena Sativa Spa and Boutique,"2901 N Central Expy, Suite 125, Room 8",Plano,Texas,,469-693-6604,,
Nourish Skin Nashville,"1226 Lakeview Drive
Suite G",Franklin,TN,,6152950055,care@nourishskinnashville.com,nourishskinnashville.com
LF Aesthetics,"400 Highland Avenue, Suite 13 studio 5",Salem,MA,,9788369320,,
"Radiant Skin by Kerry, Inc.","900 Northern BLVD, Suite 130",Great Neck,NY,,516-655-3403,,www.4skindivas.com
Drip Aesthetics,"2450 Velp Avenue, Suite 16",Green Bay,WI,,(810) 623-9343,dripskinpmu@gmail.com,
The Contouring Co.,"7391 West Charleston Blvd, Suite 170",Las Vegas,NV,,702-355-0870,Msherburner@gmail.com,Thecontouringco.com
U Beauty & Skin,"439 N 6th Avenue, Suite 187",Tuscon,AZ,,(520) 808-1195,kbanks810@gmail.com,
U. beauty & skin,"439 N 6th Ave, Suite 189",Tucson,Arizona,,,U. beauty & skin,
Happy Hour Derma Bar,"8950 E Germann Road, Suite 19",Mesa,AZ,,(480) 915-9985,happyhourdermabar@gmail.com,WWW.HAPPYHOURDERMABAR.COM
"Wildflower Aesthetics, LLC.","226820 Rib Mountain Drive, Suite 19",Wausau,WI,,7152126970,wildfloweraestheticswi@gmail.com,vagaro.com/wildfloweraesthetics1
Ecco Natura Skin,"8810 Commodity Circle, Suite 1B",Orlando,FL,,(787) 479-8718,ecconaturaskin@gmail.com,https://www.instagram.com/ecconaturaskin
District Hair & Body,"502 SW A ST, Suite 2",Bentonville,AR,,4793663405,nwadistrict@gmail.com,www.nwadistrict.com
La Estie,"1616 South Victory Blvd, Suite 201",Glendale,CA,,8187383259,Lilmissonly@gmail.com,Instagram.com/la.estie
"Beauty Bar 201, Granger IN","51160 Bittersweet Road, Suite 201",Granger,IN,,574.313.1404,Thebeautybar201@gmail.com,Www.beautybar201.com
Ashley Sigdestad,"9666 Businesspark Ave, Suite 201",San Diego,California,,619-890-7966,,
Solana Aesthetics,"1216 Pleasant Valley Blvd, Suite 202",Altoona,Pennsylvania,,814-240-5598,,
Haven Skin Studio,"209 4th Ave S, Suite 202A",Edmonds,WA,,(206) 450-8229,hssedmonds@gmail.com,http://www.hssedmonds.com/
Sacred Bee Beauty,"3674 S. Jordan Pkwy, Suite 204",South Jordan,UT,,801-441-8982,,https://www.vagaro.com/sacredbeebeauty
The Luxe Touch Skin Boutique & Spa,"29433 Southfield Rd, Suite 204",Southfield,Michigan,,248-763-1556,info@theluxetouchskinboutique.com,www.theluxetouchskinboutique.com
Face Forever Spa,"7239 Sawmill Rd, Suite 205A",Dublin,Ohio,,614-702-8687,,
Skin by Shelby,"158 Tuskawilla Road B2328, Suite 207",Winter Springs,FL,,4075887320,skinnbyshelby@gmail.com,https://www.skinbyshelby.com/
La Bella Skin,"18625 Sherman way, Suite 208",Reseda,California,,818 578-8455,,
Elevated Aesthetics - San Juan Capistrano,"30290 Rancho Viejo Rd, Suite 210",San Juan Capistrano,California,,19492921867,Elevatedaesthetics22@gmail.com,www.elevatedaesthetics.org
Citrus and Willow Aesthetics,"3350 W Americana Terrrace, Suite 210-A",Boise,Idaho,,(208) 340-8169,,https://citrusandwillow.com/
Bliss & Skin,"23 Green St, Suite 211",Huntington,NY,,631-403-3371,hello@blissandskin.com,
Love Your Face Aesthetics Studio,"3674 South Jordan Parkway, Suite 212",South Jordan,UT,,4356335190,Loveyourface.ut@gmail.com,
Niknackbeauty Bar LLC,"9 E Loockerman Street, Suite 215",Dover,DE,,(302) 592-8438,niknackbeautybar@gmail.com,https://niknackbeautybar.square.site/
Essential Escape Spas,"16000 Pearl Road, Suite 215",Strongsville,Ohio,,(216) 815-5711,,
Below the Surface Wilmington NC,"3807 Wrighsville Avenue, Suite 22",Wilmington,Nc,,919-820-3412,belowthesurfaceskincare@gmail.com,Belowthesurfacewilmington.com
BOHO Med Spa,"977 Raintree Circle, Suite 220",Allen,TX,,9729080903,Info@bohomedspa.com,Www.bohomedspa.com
BEAUTY EPITOME,"890 E 116TH St., Suite 220, Room 2",Carmel,Indiana,,317.659.3910,,
Skin Therapy,"143 Ridgeway Dr, Suite 229",Lafayette,LA,,337-207-3466,Amy@skintherapybyamy.com,
Nourish Skin Therapy and Lash,"2712 Hendersonville Rd, Suite 230A",Arden,North Carolina,,828-620-2253,Nourishskintherapyandlash@gmail.com,Nourishskintherapyandlash.com
Riviera Spa- Nashville,"3990 Hillsboro Pike, Suite 240",Nashville,TN,,(615) 850-8443,info-gh@rivieraspa.com,https://rivieraspanashville.com/
Fireflies Salon & Spa,"30500 St Hwy 181, Suite 240",Spanish Fort,AL,,(251) 626-0707,firefliessalon@gmail.com,https://www.firefliessalon.com/
Crown Jewel Esthetics,"255 S 17th Street, Suite 2407",Philadelphia,PA,,2679840969,Jewellee@crownjewelesthetics.com,www.crownjewelesthetics.com
Belle Arte medspa,"1300 114th avenue SE, suite 252",Bellevue,WA,,425-8995600,Info@belleartemedspa.com,Www.belleartemedspa.com
Artistry by Annette,"44175 W 12 Mile Rd F136, Suite 27",Novi,MI,,2489806235,Artistrybyannette@yahoo.com,http://artistrybyannette.com/
Honest Skin,"4250 Pacific Highway 
Suite 229",San Diego,CA,,8583446333,team@honestskin.co,www.honestskin.co
The Wax Den Studio and Spa,"562 Kingsland Street, Suite 3",Nutley,NJ,,973-542-8442,jae@thewaxden.com,https://www.thewaxden.com/home
Flawless by Alina,"2839 Agoura Road, Suite 30",Westlake Village,CA,,8182741929,flawlessbyalina@gmail.com,
Balanced Skincare and Massage,"6011 Durand Avenue, Suite 300",Mount Pleasant,WI,,(262) 498-0189,sadreger@hotmail.com,
Radiant Skin- Richmond Hill,"2591 Highway 17, Suite 301",Richard Hill,GA,,(912) 459-7546,radiantskinrichmondhill@gmail.com,https://radiantskinrichmondhill.com/
Savij Beauty,"1810 Galleria Blvd, Suite 302",Charlotte,North Carolina,,980-288-8284,,
"LG Advanced Skincare, Inc","6279 W Sample Road, Suite 303",Coral Springs,FL,,9547099297,lissetteherrer@gmail.com,
Fizz Facial Bar - Conway,"2235 Dave Ward Drive, Suite 303",Conway,AR,,501-504-6882,conway@fizzfacialbar.com,https://www.fizzfacialbar.com/
Darling Skin Bar,"150 Thunderbird Drive, Suite 305",Richmond Hill,Georgia,,(912) 658-9431,darlingskinbar@outlook.com,https://darlingskinbar.glossgenius.com/
The Pink Room Aesthetics Boutique,"2605 8th Ave. S., Suite 33",Nashville,TN,,5023109803,Maria@pink-room.org,www.pink-room.org
The Face Space,"19056 Gulf Freeway, Suite 35",Friendswood,TX,,8325090769,joshua@thefacespacestudio.com,Thefacespacestudio.com
Taraesthetics,"75 Main St., Suite 4",Putnam,CT,,860-928-5770,Tara@taraesthetics.com,http://www.taraesthetics.com/
Ojas Wellness- Bare Hills,"1423 Clarkview Rd., Suite 400",Baltimore,MD,,4106646527,karen.milling@ojaswellness.com,https://www.ojaswellness.com/#
Bask Brows And Skin,"3901-C Bellaire Blvd, Suite 410",Houston,Texas,,832.786.8233,hello@baskhouston.com,https://baskhouston.com/
Skin Addict,"2472 Patterson Rd, Suite 5",Grand Junction,Colorado,,(970) 812-3357,,
Cheeky Skin & Wax Studio,"4913 Harroun Rd, Suite 5",Sylvania,Ohio,,,,
Lindeza Day Spa,"1049 Broadway, Suite 5",West Long Branch,NJ,,(732) 963-9581,anna@lindezadayspa.com,http://www.lindezadayspa.com/
Kiss Her Face Aesthetics,"8765 Stockard Drive, Suite 503",Frisco,TX,,2144077001,Sabrina@kissherfaceaesthetics.com,Kissherfaceaesthetics.com
Beauty Skin By Gomez,"68487 E Palm Canyon Dr, Suite 57",Cathedral,CA,,7606689535,Jackelin53@icloud.com,
Charlenesthetics,"387 N Woodlawn, Suite 6",Wichita,KS,,3167121483,charlenesthetics@gmail.com,Charlenesthetics.com
COREQUEST YOGA STUDIO & SPA,"205 E Main St, Suite 6",Wautoma,Wisconsin,,,,https://www.corequestyoga.com/
Complexions,"5200 N. McColl Rd, Suite 6",McAllen,TX,,9569041670,complexions956@gmail.com,
Perfect Touch Brows,"12300 Jefferson Avenue, Suite 601",Newport News,Virginia,,(757)-933-7477,,
Fox & Schingo Plastic Surgey,"1214 Troy-Schenectady Road, Suite 7",Latham,NY,,(518) 346-2358,alexander.aesthetician@gmail.com,https://www.foxandschingo.com/
Radiance Advanced Skincare & Laser,"75 Post Office Park, Suite 7504",Wilbraham,MA,,(413) 262-6678,kellyc15@live.com,https://www.radiancekelly.com/
Go Yolande Skin Spa,"251 S Willow Ave, Suite 1",Cookeville,Tennessee,,(931) 385-0970,goyolandeskin@gmail.com,
Perfekt Skin,"319 Middle Country Road, Suite 8",Smithtown,New York,,718-757-9256,,www.perfektskin.com
Cloud9 Beauty,"619 Main Street, Suite 9A",Frisco,CO,,3155725535,Lyanneforest@gmail.com,cloud9-beauty.com
M Ko Esthetics,"5979 Bandel Rd NW, Suite A",Rochester,Minnesota,,307-214-0488,,
Belle Visage Medical Aesthetics,"509 SW Wilshire Blvd, Suite A",Burleson,TX,,8177206320,TeamBelle@BelleBurlesonMedSpa.com,www.BelleBurlesonMedSpa.com
Mermaid Labs,"20 Abe Voorhees Drive, Suite A",Manasquan,New Jersey,,936-666-0411,,
Babe Lab,"11900 Biscayne Blvd, Suite B",Miami,FL,,(305) 980-0766,babelabofficial@gmail.com,www.babe-lab.com
Skin Care by Amanda,"2800 Gause E., Suite B",Slidell,LA,,985-640-5830,skincarebyamandaslidell@yahoo.com,www.skincarebyamandaslidell.com
Pure Life Skin Studio,"288 Aragon Avenue, Suite B",Coral Gables,FL,,7864717124,info@purelifeskinstudio.com,www.purelifeskinstudio.com
"Bare Body in North Chesterfield, Va","605 Research Road, Suite B",North Chesterfield,Virginia,,8049559085,Info@barebodyva.com,Www.barebodyva.com
Lenox Skincare,"6424 N Santa Fe, Suite B",Oklahoma City,Oklahoma,,405-217-3936,,www.lenoxskincare.com
Alexsandra Esthetics,"312 Cottage Street, Suite B",Sanford,ME,,207-569-4407,AlexsandraRaye@icloud.com,
Strong Aesthetics,"11823 Old Glenn Hwy, Suite B",Eagle River,Alaska,,902-382-1326,,
Silver Stone Salon Spa,"1505 Highway 31 South, Suite B.",Hartselle,AL,,256-773-4407,,www.silverstonesalonspa.com
Art of Skin Rx,"7125 S. 29th St., Suite B1",Lincoln,NE,,402-260-4321,info@artofskinrx.com,http://www.artofskinrx.com/
Bluewater Wellness Aesthetics &amp; Massage,"1072 NC 210 Hwy, Suite C",Sneads Ferry,NC,,910-741-0570,Info@bluewater-wellness.com,Bluewater-wellness.com
Skin Spa Utah,"6298 South 900 East, Suite C",Murray,UT,,8017927994,hellobeautiful@skinspautah.com,Skinspautah.com
Spring Lake Day Spa,"110 S Lake Avenue, Suite C",Spring Lake,Michigan,,(734) 260-0787,Susanv@springlakedayspa.com,www.springlakedayspa.com
Pura Vita Day Spa,"6511 Highway 105 W, Suite C",Conroe,Texas,,(936) 202-8575,,https://www.puravitadayspaconroe.com/
AnaVia Massage and Wellness,"550 Third Avenue, Suite C",Rensselaer,NY,,(518) 281-9809,signatureskincarebymary@gmail.com,
Ocean Brows & Aesthetics,"1522 Penman rd, Suite C7",Jacksonville Beach,Florida,,9043007188,oceanbrowsjax@gmail.com,www.oceanbrows.com
Kaffee's Garden Spa,"4100 S. Dixie Hwy, Suite D",West Palm Beach,FL,,(561) 833-4483,kaffeesspa@aol.com,https://www.kaffeesgardenspa.com/
Eleven Esthetics,"2690 5th St., Suite D #142",Alameda,CA,,(510) 545-3558,info@elevenesthetics.com,https://www.elevenesthetics.com/
REJUVEN8 Med Spa,"9928 South Jog Road West Palm Beach FL 33415 United States Map, SUITE D2",West Palm Beach,FL,,(561) 990-9914,maggie@rejuven8med.com,https://rejuven8med.com/
exhale. infusions & aesthetics,"2509 N Main St, Suite E",Summerville,South Carolina,,(843) 885-9399,,
"Foot, Skin, and Body Wellness","3038 N Federal Highway, Suite H",Ft. Lauderdale,FL,,(954) 684-6059,,https://www.medicalpedicureandskincare.com/
Wisteria,"1616 Woodruff Road, Suite H",Greenville,South Carolina,,864.331.3333 (ext. 4),,
Lakeside Skincare,"2000 Mcculloch Blvd. N, Suite J",Lake Havasu City,Arizona,,(928) 505-2202,,
Ojas Wellness- Cockeysville,"10540 York Street, Suite M",Cockeysville,MD,,4104727077,karen.milling@ojaswellness.com,https://www.ojaswellness.com/
Sanibel Day Spa,"2075 Periwinkle Way, Unit # 24",Sanibel,FL,,239) 395-2220,info@sanibeldayspa.com,http://sanibeldayspa.com/
18 Spa,"1135 N Lincoln Ave, Unit 1",Loveland,CO,,970-587-3008,info@18spaco.com,https://www.18spaco.com
Esplanade Lakewood Ranch,"5220 Hyland Hills Avenue, Unit 1213",Sarasota,FL,,(941) 253-2912,csteere@taylormorrison.com,https://www.esplanadelwr.com/Wellness/Koquina_Sand_Spa
The Spa Haus,"182 Merrick Road, Unit 13",Amityville,New York,,(631) 608-0252,info@thespahaus.com,
Luminous Skin Facials,"817 S. MacArthur Blvd., Unit 140 Room 7",Coppell,Texas,,214-909-1402,,
Lotus Skincare Studio,"1380 SW Vintage Pkwy, Unit 209",Ankeny,IA,,(515) 357-3436,sierra@lotusskinstudio.com,https://www.lotusskinstudio.com/
Grace Facial Studio,"14909 Fitzhugh Rd, Unit B",Austin,TX,,512-447-2888,,https://pinkwestsalon.com/
Sublime Skin Studio,"4553 North Shallowford Road, Unit C90",Atlanta,Georgia,,(404) 219-1151,Sublimeskinstudios@gmail.com,www.sublimeskinstudios.gembook.com
Ojas Wellness- Columbia,"6020 Meadowridge Center Dr., Unit E",Elkridge,MD,,443-445-3444,karen.milling@ojaswellness.com,https://www.ojaswellness.com/#
Etoile Salon - Advanced Nail Care &amp; Beauty Boutique,"6460 E Yale Ave, Unit E-50",Denver,Colorado,,3036395167,info@etoilenailsspa.com,www.etoilenailsspa.com
The Skin & Co.,"536 Southing Grange, Unit G",Cotage Gfrove,WI,,(920) 728-4232,facesonmain@gmail.com,https://www.theskinandcompany.com/
AnnaK aesthetics,"325 East Army Trail Road, Unit I",Glendale Heights,Illinois,,,Annakaesthetics@gmail.com,
High Definition Esthetics,"2670 E County Line Rd, Unit M Studio 104",Highlands Ranch,CO,,3036690255,jade@highdefesthetics.com,highdefinitionesthetics.com
Your Face Place at Kismet,5715 Linglestown Rd.,Harrisburg,PA,,717-307-1399,yourfaceplaceatkismet@gmail.com,https://www.facebook.com/panachesalonhbg/
AD Facials,800 US-290 Building D Suite 500,Dripping Springs,TX,,5128046492,Amy@adfacials.com,www.ADfacials.com
"Plush Studios Day Spa, Med Spa &amp; Salon",1423 38th St W,Billings,MT,,4069692018,Plushskincarestudio@gmail,www.plushskincarestudio.com
Soulmate Skin,185 First Street,Woodland,CA,,530.867.9161,maria@soulmateskin.com,www.soulmateskin.com
Le Bon Visage,1297 St Charles St,Houma,LA,,985-856-1817,Lebonvisage.glossgenius.com,
Kissed by Kayla Esthetics,3738 State Rte 30,Lonedell,MO,,(636) 359-5663,kissedbykaylaesthetics@gmail.com,https://www.facebook.com/profile.php?id=100094256479155
Lindsay Taylor Spatique,45 East Main Street,Westborough,MA,,,Lindsaytaylorspatique@gmail.com,https://www.lindsaytaylorspatique.com/
Progressive Laser and Spa,565 Hooper Road,Endwell,NY,,607-786-6222,News@progressivelaserny.com,https://progressivelaserny.com/
Mabel's Skin Care,"601 S B Street, Suite B",San Mateo,CA,,(650) 246-4659,aloha@mabelsskincare.com,https://mabelsskincare.com
Ojas Wellness- Pikesville,1848B Reisterstown Rd.,Pikesville,MD,,410-356-7080,karen.milling@ojaswellness.com,https://www.ojaswellness.com/#
The Fountain Spa - Hackensack,10 Riverside Square Mall,Hackensack,NJ,,201-327-5155,customerservice@thefountainspa.com,https://www.thefountainspa.com/
The Fountain Spa - Ramsey,1100 Route 17 North,Ramsey,NJ,,201-327-5155,customerservice@thefountainspa.com,https://www.thefountainspa.com/
Spruced Brow and Skin LLC,144 Bernard Street,East Saint Paul,MN,,(314) 307-5971,Jaclyn@sprucedbrowskin.com,https://www.sprucedbrowskin.com/
"Integrative Skin Care, LLC",138 Kaime Road,Chichester,NH,,(603) 731-3855,loveetlast@aol.com,
Healthy Beautiful Skin and Tan,6642 Lassen Drive,Buena Park,CA,,(714) 625-7402,hbskinandtan@gmail.com,https://www.healthybeautifulskinandtan.com/
Salon Allure,5330 Main Street,Williamsville,NY,,716-633-7735,Maria.salonallure@gmail.com,https://www.salonallureny.com/
After FX Spa and Salon,2237 West Washington St,Broken Arrow,OK,,(918) 451-2445,afterfxsalon@gmail.com,https://www.afterfxsalon.com/
My Facial Girl,103 East Arlington Street,Satellite Beach,FL,,(407) 247-3665,christy@myfacialgirl.com,https://www.myfacialgirl.com/
