name,providerCode,phoneNumber,address,streetAddress1,streetAddress2,city,state,zipCode,country,status,latitude,longitude,createdAt,updatedAt
Health Link Medical Group,health-link-medical-group,702-485-0008,"2125 S El Camino Real, #204, Carlsbad, CA, 92054, USA",2125 S El Camino Real,#204,Carlsbad,CA,92054,USA,Active,33.1885567,-117.328831,2025-10-17T23:59:58.000Z,2025-10-17T23:59:58.000Z
Reveal Wellness,reveal-wellness,310-241-0947,"28645 S Western Ave, Rancho Palos Verdes, CA, 90275, USA",28645 S Western Ave,,Rancho Palos Verdes,CA,90275,USA,Active,33.758276,-118.312992,2025-10-17T23:59:59.000Z,2025-10-17T23:59:59.000Z
The Skin Artisté LLC,the-skin-artiste-llc,2679949933,"551 W. Lancaster Ave, Suite 402, Haverford, PA, 19041, USA",551 W. Lancaster Ave,Suite 402,Haverford,PA,19041,USA,Active,40.0168422,-75.30847419999999,2025-10-17T23:59:59.000Z,2025-10-17T23:59:59.000Z
Charli & Chlo,charli-and-chlo,9033160297,"2072 Three Lakes Pkwy , ste 400, Tyler, TX, 75703, USA",2072 Three Lakes Pkwy ,ste 400,Tyler,TX,75703,USA,Active,32.2684134,-95.3390924,2025-10-17T23:59:59.000Z,2025-10-17T23:59:59.000Z
Revay Aesthetics,revay-aesthetics,559-547-6949,"7085 N. Whitney #108, Fresno, CA, 93720, USA",7085 N. Whitney #108,,Fresno,CA,93720,USA,Active,36.838886,-119.7428137,2025-10-18T00:00:00.000Z,2025-10-18T00:00:00.000Z
B1 Esthetics,b1-esthetics,702-755-1181,"8821 W Sahara Ave , Unit 120, Las Vegas, NV, 89117, USA",8821 W Sahara Ave ,Unit 120,Las Vegas,NV,89117,USA,Active,36.1428765,-115.2887308,2025-10-18T00:00:00.000Z,2025-10-18T00:00:00.000Z
The Little Orchid Aesthetics,the-little-orchid-aesthetics,720-690-4699,"13635 E 104th Ave , #150, Commerce city, CO, 80022, USA",13635 E 104th Ave ,#150,Commerce city,CO,80022,USA,Active,39.88602909999999,-104.8288009,2025-10-18T00:00:00.000Z,2025-10-18T00:00:00.000Z
BellaMD,bellamd,214 378 6500,"6170 Sherry Ln. , #100, Dallas, TX, 75225, USA",6170 Sherry Ln. ,#100,Dallas,TX,75225,USA,Active,32.8618703,-96.8050014,2025-10-18T00:00:01.000Z,2025-10-18T00:00:01.000Z
Metropolis Dermatology - San Jose,metropolis-dermatology-san-jose,(408) 581-0161,"111 North Market St, #1000, San Jose, CA, 95113, USA",111 North Market St,#1000,San Jose,CA,95113,USA,Active,37.3377941,-121.8942698,2025-10-18T00:00:01.000Z,2025-10-18T00:00:01.000Z
Altman Aesthetic Center,altman-aesthetic-center,201-569-3334,"570 Sylvan Ave, Englewood Cliffs, NJ, 07632, USA",570 Sylvan Ave,,Englewood Cliffs,NJ,07632,USA,Active,40.8850759,-73.9478264,2025-10-18T00:00:02.000Z,2025-11-01T02:53:10.000Z
Purely K Skincare,purely-k-skincare,541-788-7281,"4120 N Linder Rd , Suite 100, Meridian, ID, 83646, USA",4120 N Linder Rd ,Suite 100,Meridian,ID,83646,USA,Active,43.6419112,-116.4132963,2025-10-18T00:00:02.000Z,2025-10-18T00:00:02.000Z
One Care Spa,one-care-spa,843-342-3202,"81 N Main Street, STE 202, Hilton Head, SC, 29926, USA",81 N Main Street,STE 202,Hilton Head,SC,29926,USA,Active,32.2167641,-80.71889259999999,2025-10-18T00:00:02.000Z,2025-10-18T00:00:02.000Z
"Brandy Watkins Beauty, LLC",brandy-watkins-beauty-llc,(262) 955-4566,"N80W14954 Appleton Ave. , Studio 12, Menomonee Falls, WI, 53051, USA",N80W14954 Appleton Ave. ,Studio 12,Menomonee Falls,WI,53051,USA,Active,43.1646264,-88.0959036,2025-10-18T00:00:03.000Z,2025-10-18T00:00:03.000Z
Kalon,kalon,2705052129,"110 South Main St , Suite 115, Elizabethtown, KY, 42701, USA",110 South Main St ,Suite 115,Elizabethtown,KY,42701,USA,Active,37.6925522,-85.8590993,2025-10-18T00:00:03.000Z,2025-10-18T00:00:03.000Z
La Belle Vie Medspa,la-belle-vie-medspa,770-807-4124,"16400 Southcenter Pkwy, Suite 100, Tukwila, WA, 98188, USA",16400 Southcenter Pkwy,Suite 100,Tukwila,WA,98188,USA,Active,47.4552729,-122.2616832,2025-10-18T00:00:04.000Z,2025-10-18T00:00:04.000Z
Skin Chalet Steamboat,skin-chalet-steamboat,(970) 439-0091,"1021 Lincoln Ave, Steamboat Springs, CO, 80487, USA",1021 Lincoln Ave,,Steamboat Springs,CO,80487,USA,Active,40.4874623,-106.8375205,2025-10-18T00:00:04.000Z,2025-10-18T00:00:04.000Z
Hua Esthetics (inactive),hua-esthetics,208-760-0513,"1200 East Watertower Street , Suite 130, Meridian, ID, 83642, USA",1200 East Watertower Street ,Suite 130,Meridian,ID,83642,USA,Active,43.6008845,-116.3791824,2025-10-18T00:00:05.000Z,2025-10-22T22:31:07.000Z
Forma Medical Aesthetics & Wellness,forma-medical-aesthetics-wellness,770-568-0092,"11780 Northfall Lane , Unit 301, Alpharetta, GA, 30009, USA",11780 Northfall Lane ,Unit 301,Alpharetta,GA,30009,USA,Active,34.0669059,-84.30722039999999,2025-10-18T00:00:05.000Z,2025-11-12T18:25:03.000Z
PS By Lauren,ps-by-lauren,+1 (949) 202-7414,"385 Sunrise Cir., Costa Mesa, CA, 92627, USA",385 Sunrise Cir.,,Costa Mesa,CA,92627,USA,Active,33.6516748,-117.8921043,2025-10-18T00:00:05.000Z,2025-10-18T00:00:05.000Z
Esthetics Center - El Dorado,esthetics-center,916-941-9400,"2211 Francisco Drive, El Dorado Hills, CA, 95762, USA",2211 Francisco Drive,,El Dorado Hills,CA,95762,USA,Active,38.7101487,-121.0832319,2025-10-18T00:00:06.000Z,2026-02-05T00:08:09.000Z
FACELAB,facelab,503-737-7268,"12198 SE 158th Ave, Happy Valley, OR, 97086, USA",12198 SE 158th Ave,,Happy Valley,OR,97086,USA,Active,45.4343713,-122.5014001,2025-10-18T00:00:06.000Z,2025-10-18T00:00:06.000Z
Galanis Plastic Surgery,galanis-plastic-surgery,310-858-8930,"416 N Bedford Dr , Ste 311, Beverly Hills, CA, 90210, USA",416 N Bedford Dr ,Ste 311,Beverly Hills,CA,90210,USA,Active,34.0683718,-118.405005,2025-10-18T00:00:06.000Z,2025-10-18T00:00:06.000Z
Meg Fox Aesthetics Annapolis,meg-fox-aesthetics-annapolis,301-778-1326,"2496 Riva Rd , Ste 410, Annapolis, MD, 21401, USA",2496 Riva Rd ,Ste 410,Annapolis,MD,21401,USA,Active,38.982231,-76.54484,2025-10-18T00:00:07.000Z,2025-10-18T00:00:07.000Z
Amadika Aesthetics,amadika-aesthetics,970.683.8798,"3070 I-70 Business Loop, Suite B2, Grand Junction, CO, 81504, USA",3070 I-70 Business Loop,Suite B2,Grand Junction,CO,81504,USA,Active,39.081491,-108.48243,2025-10-18T00:00:08.000Z,2025-10-18T00:00:08.000Z
Calm Spirit Integrative Wellness,calm-spirit-integrative-wellness,303.467.5337,"12380 W 64th Ave, Arvada, CO, 80004, USA",12380 W 64th Ave,,Arvada,CO,80004,USA,Active,39.8123432,-105.1371555,2025-10-18T00:00:08.000Z,2025-10-18T00:00:08.000Z
ZENA Medical,zena-medical,949-200-8222,"359 SAN MIGUEL DRIVE , Ste 300, Newport Beach, CA, 92660, USA",359 SAN MIGUEL DRIVE ,Ste 300,Newport Beach,CA,92660,USA,Active,33.6126273,-117.8723712,2025-10-18T00:00:09.000Z,2025-10-18T00:00:09.000Z
After Glow Experience,after-glow-experience,520-661-2685,"4745 N First Ave, Tucson, AZ, 85718, USA",4745 N First Ave,,Tucson,AZ,85718,USA,Active,32.2931692,-110.9616424,2025-10-18T00:00:10.000Z,2025-10-18T00:00:10.000Z
Springs Body Sculpting & Aesthetics,springs-body-sculpting-and-aesthetics,(719) 387-0630,"5731 Silverstone Terrace, Suite 270, Colorado Springs, CO, 80919, USA",5731 Silverstone Terrace,Suite 270,Colorado Springs,CO,80919,USA,Active,38.914031,-104.8643683,2025-10-18T00:00:09.000Z,2025-10-18T00:00:09.000Z
Origins Medicine & Aesthetics,origins-medicine-and-aesthetics,(408) 909-1350,"15100 Los Gatos Blvd , Ste 1, Los Gatos, CA, 95032, USA",15100 Los Gatos Blvd ,Ste 1,Los Gatos,CA,95032,USA,Active,37.2486249,-121.9555329,2025-10-18T00:00:10.000Z,2025-10-18T00:00:10.000Z
Re-Glo Aesthetics,re-glo-aesthetics,408-691-5371,"580 El Camino Real , Suite 27, Santa Clara, CA, 95050, USA",580 El Camino Real ,Suite 27,Santa Clara,CA,95050,USA,Active,37.353157,-121.9391113,2025-10-18T00:00:10.000Z,2025-10-18T00:00:10.000Z
Rumours Wellness,rumours-wellness,(903) 663-0061,"3394 Hwy 259 N, Suite 1, Longview, TX, 75605, USA",3394 Hwy 259 N,Suite 1,Longview,TX,75605,USA,Active,32.41550120000001,-94.846001,2025-10-18T00:00:11.000Z,2025-10-18T00:00:11.000Z
Skin Technology,skin-technology,(435) 688-0266,"491 Riverside Drive, St George, UT, 84790, USA",491 Riverside Drive,,St George,UT,84790,USA,Active,37.0866225,-113.5726641,2025-10-18T00:00:11.000Z,2025-10-18T00:00:11.000Z
FNDATN Functional Medicine & Aesthetics,fndatn-functional-medicine-aesthetics,208-954-2359,"3003 W Main Street , Suite 110, Boise, ID, 83702, USA",3003 W Main Street ,Suite 110,Boise,ID,83702,USA,Active,43.621237,-116.228024,2025-10-18T00:00:11.000Z,2025-10-21T23:53:45.000Z
Kramer Plastic Surgery,kramer-plastic-surgery,208.344.4900,"1736 S Millennium Way, Meridian, ID, 83646, USA",1736 S Millennium Way,,Meridian,ID,83646,USA,Active,43.5886419,-116.3674372,2025-10-18T00:00:12.000Z,2025-10-18T00:00:12.000Z
Serotonin Center,serotonin-center,8133550320,"3838 West Neptune St , D1, Tampa, FL, 33629, USA",3838 West Neptune St ,D1,Tampa,FL,33629,USA,Active,27.9296902,-82.50762600000002,2025-10-18T00:00:12.000Z,2025-10-18T00:00:12.000Z
NovaSkin Laser & Wellness,novaskin-laser-and-wellness,7313302221,"716 N Highland Ave, Jackson, TN, 38301, USA",716 N Highland Ave,,Jackson,TN,38301,USA,Active,35.6268122,-88.81861239999999,2025-10-18T00:00:13.000Z,2025-10-18T00:00:13.000Z
Savage Serenity,savage-serenity,559-388-8726,"997 E Champlain Dr , # 160, Fresno, CA, 93720, USA",997 E Champlain Dr ,# 160,Fresno,CA,93720,USA,Active,36.8720521,-119.7654387,2025-10-18T00:00:13.000Z,2025-10-18T00:00:13.000Z
EXO Industries,exo-industries,6362939691,"2 157 Center, Edwardsville, IL, 62025, USA",2 157 Center,,Edwardsville,IL,62025,USA,Active,38.7845397,-89.9797044,2025-10-18T00:00:13.000Z,2025-10-18T00:00:13.000Z
Lash Amore Beauty Lounge,lash-amore-beauty-lounge,9077380035,"205 Lance Drive, Sitka, AK, 99835, USA",205 Lance Drive,,Sitka,AK,99835,USA,Active - Non-accruing,57.0494114,-135.3014343,2025-10-18T00:00:14.000Z,2026-01-26T19:48:23.000Z
Sakura Aesthetics,sakura-aesthetics,(855) 443-4059,"1600 Kapiolani Boulevard , Suite 500, Honolulu, HI, 96814, USA",1600 Kapiolani Boulevard ,Suite 500,Honolulu,HI,96814,USA,Active,21.2920802,-157.8391624,2025-10-18T00:00:14.000Z,2025-10-18T00:00:14.000Z
FACE BY MACE,face-by-mace,970-581-9367,"83 Crater Pool Ln, Saratoga Springs, UT, 84045, USA",83 Crater Pool Ln,,Saratoga Springs,UT,84045,USA,Active,40.360854,-111.913458,2025-10-18T00:00:14.000Z,2025-10-18T00:00:14.000Z
The Spa by Sheena,the-spa-by-sheena,806-701-5840,"8713 Milwaukee Ave, Suite 200, Lubbock, TX, 79424, USA",8713 Milwaukee Ave,Suite 200,Lubbock,TX,79424,USA,Active,33.5141098,-101.9564279,2025-10-18T00:00:15.000Z,2025-10-18T00:00:15.000Z
Juliet Beauty Injectables,juliet-beauty-injectables,601-940-2999,"5136 US-80, Morton, MS, 39117, USA",5136 US-80,,Morton,MS,39117,USA,Active,32.353321,-89.6489483,2025-10-18T00:00:15.000Z,2025-10-18T00:00:15.000Z
Bloom Aesthetics LLC,bloom-aesthetics-llc,3055223968,"91951 Overseas Hwy., Tavernier, FL, 33070, USA",91951 Overseas Hwy.,,Tavernier,FL,33070,USA,Active,25.0104305,-80.5156433,2025-10-18T00:00:15.000Z,2025-10-18T00:00:15.000Z
Hue Salon & Spa,hue-salon-and-spa,702-675-7550,"4245 S Grand Canyon Dr,  #100, Las Vegas, NV, 89147, USA",4245 S Grand Canyon Dr, #100,Las Vegas,NV,89147,USA,Active,36.1122131,-115.3065298,2025-10-18T00:00:16.000Z,2025-10-18T00:00:16.000Z
Nyse Aesthetic,nyse-aesthetic,2146798697,"279 W Hidden Creek Pkwy , Suite 1105, Burleson, TX, 76028, USA",279 W Hidden Creek Pkwy ,Suite 1105,Burleson,TX,76028,USA,Active,32.5245183,-97.32410499999999,2025-10-18T00:00:16.000Z,2025-10-18T00:00:16.000Z
OptimalSelf MD,optimalself-md,864-663-1266,"309 E. Stone Ave, Greenville, SC, 29609, USA",309 E. Stone Ave,,Greenville,SC,29609,USA,Active,34.86056850000001,-82.3888416,2025-10-18T00:00:17.000Z,2025-10-18T00:00:17.000Z
Pure Skin + acne clinic,pure-skin-acne-clinic,9163171002,"2140 Professional Drive, Suite 205, Roseville, CA, 95661, USA",2140 Professional Drive,Suite 205,Roseville,CA,95661,USA,Active,38.7420237,-121.2481777,2025-10-18T00:00:17.000Z,2025-10-18T00:00:17.000Z
Aggie Land Aesthetics,aggie-land-aesthetics,979.450.0979,"305 W 27th St, Suite #114, Bryan, TX, 77803, USA",305 W 27th St,Suite #114,Bryan,TX,77803,USA,Active,30.6728032,-96.37586139999999,2025-10-18T00:00:17.000Z,2025-10-18T00:00:17.000Z
Miranda Sturce,miranda-sturce,2123009879,"740 Park Avenue, NY, NY, 10021, USA",740 Park Avenue,,NY,NY,10021,USA,Active,40.7707543,-73.9645571,2025-10-18T00:00:18.000Z,2025-10-18T00:00:18.000Z
In The Nude Skincare,in-the-nude-skincare,(619) 366-0580,"616 Stevens Ave. , Suite M, Solana Beach, CA, 92075, USA",616 Stevens Ave. ,Suite M,Solana Beach,CA,92075,USA,Active,32.9889262,-117.2599417,2025-10-18T00:00:18.000Z,2025-10-18T00:00:18.000Z
The Cross Aesthetics,the-cross-aesthetics,671-683-7222,"2696 W Ann Rd. , Unit 106, North Las Vegas, NV, 89031, USA",2696 W Ann Rd. ,Unit 106,North Las Vegas,NV,89031,USA,Active,36.2620706,-115.1778926,2025-10-18T00:00:18.000Z,2025-10-18T00:00:18.000Z
Odara Medical Spa,odara-medical-spa,509-443-4622,"1105 N Lincoln St., Spokane, WA, 99201, USA",1105 N Lincoln St.,,Spokane,WA,99201,USA,Active,47.6673936,-117.4257746,2025-10-18T00:00:19.000Z,2025-10-18T00:00:19.000Z
Pearl Skin and Body Rejuvenation,pearl-skin-and-body-rejuvenation,719-249-4210,"7035 Campus Dr., Unit 903, Colorado Springs, CO, 80920, USA",7035 Campus Dr.,Unit 903,Colorado Springs,CO,80920,USA,Active,38.9346368,-104.8084715,2025-10-18T00:00:19.000Z,2025-10-18T00:00:19.000Z
Thistle Medical Skincare Company,thistle-medical-skincare-company,540-783-8209,"450 Garrisonville Road , Suite 205, Stafford, VA, 22554, USA",450 Garrisonville Road ,Suite 205,Stafford,VA,22554,USA,Active,38.4759488,-77.43048399999999,2025-10-18T00:00:20.000Z,2025-10-18T00:00:20.000Z
Alaska Beauty Loft,alaska-beauty-loft,907-531-7306,"290 N Yenlo St , Suite B8, Wasilla, AK, 99654, USA",290 N Yenlo St ,Suite B8,Wasilla,AK,99654,USA,Active,61.58201260000001,-149.4386802,2025-10-18T00:00:20.000Z,2025-10-18T00:00:20.000Z
Glow By Courtney Grace,glow-by-courtney-grace,754-308-0261,"400 NE 3rd Avenue , #2114, Ft Lauderdale, FL, 33301, USA",400 NE 3rd Avenue ,#2114,Ft Lauderdale,FL,33301,USA,Active,26.1268976,-80.14020459999999,2025-10-18T00:00:20.000Z,2025-11-01T04:26:17.000Z
Love My Rosie Skin,love-my-rosie-skin,5629641037,"10655 Los Alamitos Blvd, Los Alamitos, CA, 90720, USA",10655 Los Alamitos Blvd,,Los Alamitos,CA,90720,USA,Active,33.8079478,-118.0724177,2025-10-18T00:00:21.000Z,2025-10-18T00:00:21.000Z
Boulder Skin Bar,boulder-skin-bar,(303) 901-1867,"1435 Yarmouth Avenue, Suite #106, Boulder, CO, 80304, USA",1435 Yarmouth Avenue,Suite #106,Boulder,CO,80304,USA,Active,40.0584474,-105.2795542,2025-10-18T00:00:21.000Z,2025-10-18T00:00:21.000Z
Face Boutique,face-boutique,(208) 577-7308,"5907 W State St, Boise, ID, 83703, USA",5907 W State St,,Boise,ID,83703,USA,Active,43.6579016,-116.2631935,2025-10-18T00:00:21.000Z,2025-10-18T00:00:21.000Z
Palmer Skin,palmer-skin,+1 619-481-4087,"3503 Fourth Ave, San Deigo, CA, 92103, USA",3503 Fourth Ave,,San Deigo,CA,92103,USA,Active,32.7418366,-117.1613196,2025-10-18T00:00:22.000Z,2025-10-18T00:00:22.000Z
Wellskin Med Spa,wellskin-med-spa,214 373 3223,"8201 Preston Rd , #540, Dallas, TX, 75225, USA",8201 Preston Rd ,#540,Dallas,TX,75225,USA,Active,32.8627968,-96.80485949999999,2025-10-18T00:00:23.000Z,2025-10-18T00:00:23.000Z
Renew MD MedSpa,renew-md-medspa,817-678-5388,"231 W Southlake blvd , #160, Southlake, TX, 76092, USA",231 W Southlake blvd ,#160,Southlake,TX,76092,USA,Active,32.9406574,-97.1536043,2025-10-18T00:00:22.000Z,2026-02-09T21:28:57.000Z
House of Aesthetics and Wellness,house-of-aesthetics-and-wellness,7204317730,"8906 West Bowles Avenue, Suite 110, Littelton, CO, 80123, USA",8906 West Bowles Avenue,Suite 110,Littelton,CO,80123,USA,Active,39.6092981,-105.0978996,2025-10-18T00:00:23.000Z,2025-10-18T00:00:23.000Z
Rejuve Wellness & Aesthetics,rejuve-wellness-aesthetics,281-651-5170,"20165 Eva St Suite J, Montgomery, TX, 77356, USA",20165 Eva St Suite J,,Montgomery,TX,77356,USA,Active,30.3871419,-95.6795295,2025-10-18T00:00:23.000Z,2025-11-18T23:29:56.000Z
Skin Logic Aesthetics,skin-logic-aesthetics,971-350-9223,"1828 NW Overton, Portland, OR, 97209, USA",1828 NW Overton,,Portland,OR,97209,USA,Active,45.53193479999999,-122.6902962,2025-10-18T00:00:24.000Z,2025-10-18T00:00:24.000Z
Fuse Medspa & Wellness,fuse-medspa-and-wellness,959-599-7014,"51 E Main St, Avon, CT, 06001, USA",51 E Main St,,Avon,CT,06001,USA,Active,41.8062362,-72.82533,2025-10-18T00:00:24.000Z,2025-10-18T00:00:24.000Z
Center for Wellness MD,center-for-wellness-md,(303) 309-3660,"8000 E. Prentice Ave. , Suite D-10, Greenwood Village, CO, 80111, USA",8000 E. Prentice Ave. ,Suite D-10,Greenwood Village,CO,80111,USA,Active,39.620335,-104.894399,2025-10-18T00:00:25.000Z,2025-10-18T00:00:25.000Z
Peak Beauty Studio,peak-beauty-studio,5618752516,"4961 W Atlantic Avenue , Studio 21, Delray, FL, 33445, USA",4961 W Atlantic Avenue ,Studio 21,Delray,FL,33445,USA,Active,26.4588344,-80.1212485,2025-10-18T00:00:24.000Z,2025-10-18T00:00:24.000Z
Skin Fusion Spa,skin-fusion-spa,5166599967,"3501 30th Ave , Suite 213, Astoria, NY, 11103, USA",3501 30th Ave ,Suite 213,Astoria,NY,11103,USA,Active,40.76545429999999,-73.9177493,2025-10-18T00:00:25.000Z,2025-10-18T00:00:25.000Z
Evergrace Med Spa,evergrace-med-spa,831-262-5339,"210 Capitol Street , Suite B, Salinas, CA, 93901, USA",210 Capitol Street ,Suite B,Salinas,CA,93901,USA,Active,36.6743642,-121.6606607,2025-10-18T00:00:26.000Z,2025-11-14T23:21:22.000Z
Flora Kim Dermatology,flora-kim-dermatology,214 521 1900,"4300 Mac Arthur Ave , #100, Dallas, TX, 75209, USA",4300 Mac Arthur Ave ,#100,Dallas,TX,75209,USA,Active,32.8228369,-96.81709099999999,2025-10-18T00:00:26.000Z,2025-10-18T00:00:26.000Z
Skin Ritual Co.,skin-ritual-co,415-340-0431,"1766A Union Street, San Francisco, CA, 94123, USA",1766A Union Street,,San Francisco,CA,94123,USA,Active,37.7993105,-122.4264628,2025-10-18T00:00:27.000Z,2025-10-18T00:00:27.000Z
Syn Wellness | Skin by Nari,syn-wellness-or-skin-by-nari,720.902.9597,"3405 N Downing Street, Suite B, Denver, CO, 80205, USA",3405 N Downing Street,Suite B,Denver,CO,80205,USA,Active,39.7646906,-104.9735898,2025-10-18T00:00:25.000Z,2025-10-18T00:00:25.000Z
KÅLLOS: A beauty studio,kallos-a-beauty-studio,612237-6212,"2709 N Mayview Road, Raleigh, NC, 27607, USA",2709 N Mayview Road,,Raleigh,NC,27607,USA,Active,35.797102,-78.67105409999999,2025-10-18T00:00:27.000Z,2025-10-18T00:00:27.000Z
SkinSaintKate LLC,skin-saint-kate-llc,304-692-4003,"3000 Coombs farm road , suite 106, Morgantown, WV, 26508, USA",3000 Coombs farm road ,suite 106,Morgantown,WV,26508,USA,Active,39.6569109,-79.8913031,2025-10-18T00:00:27.000Z,2025-10-22T23:47:28.000Z
Soul Medical LLC,soul-medical-llc,4702896863,"310 Maxwell Rd , Ste 100, Alpharetta, GA, 30009, USA",310 Maxwell Rd ,Ste 100,Alpharetta,GA,30009,USA,Active,34.0673156,-84.29937439999999,2025-10-18T00:00:28.000Z,2025-10-18T00:00:28.000Z
