store_name,address,city,state,zip_code,phone_number,email,website
Dermatology Care of Charlotte,"15830 Ballantyne Medical Place, Suite 100",Charlotte,NC,28277,17043410090,kpace@dermcarecharlotte.com,{'url': 'https://dermcarecharlotte.com/'}
Fort Mill Dermatology,"1700 First Baxter Crossing, Ste 101",Fort Mill,SC,29708,18038023376,rls@fortmillderm.com,{'url': 'http://www.fortmillderm.com/'}
Aesthetic Surgery of Charlotte,6450 Bannington Road,Charlotte,NC,28226,17048371150,bailey@aestheticsurgerycharlotte.com,{'url': 'http://www.aestheticsurgerycharlotte.com'}
Metrolina Dermatology and Skin Surgery Specialists,"10502 Park Road, Suite 100",Charlotte,NC,28210,19802993926,aesthetician@metrolinadermatology.com,{'url': 'https://www.metrolinadermatology.com/'}
Carolina Facial Plastics,6817 Fairview Rd,Charlotte,NC,28210,17048423644,terri@carolinafacialplastics.com,{'url': 'https://carolinafacialplasticsurgery.com/'}
Infinity Medspa and Wellness,"2809 Coltsgate Rd, Ste 100",Charlotte,NC,28211,17047339202,jobrent@infinitymedspaandwellness.com,{'url': 'http://www.infinitymedspaandwellness.com/'}
Woo Skincare and Cosmetics,2900 Selwyn Avenue,Charlotte,NC,28209,17043330443,Ann@wooskincareandcosmetics.com,{'url': 'https://www.wooskincareandcosmetics.com/'}
SkinSpirit,1041 Providence Rd,Charlotte,NC,28207,19803813400,accountspayable@skinspirit.com,{'url': 'https://www.skinspirit.com/'}
Miramae Medical Skin Care Studio,1232 East Blvd,Charlotte,NC,28202,17048179330,miramaestudio@gmail.com,{'url': 'https://www.miramaestudio.com/'}
Plumped,"1227 W. Morehead St, Suite 120",Charlotte,NC,28208,17045269321,plumpedclt@gmail.com,{'url': 'https://plumpedclt.com/'}
Elase - Fernandina Beach,961687 GATEWAY BLVD,FERNANDINA BEACH,FL,32034,19046867525,jennifer@theamaramedspa.com,{'url': 'https://elase.com/'}
Aesthetic Avenue,1519 N Fant St,Anderson,SC,29621,18645400888,invoices.allureaesthetics@gmail.com,{'url': 'http://www.AestheticsAve.com'}
Clemson Eye,360 Pelham Rd,Greenville,SC,29615,18556542020,schristie@clemsoneye.com,{'url': 'https://www.clemsoneye.com/'}
Elase - Ponte Vedra,115 PROFESSIONAL DRIVE,PONTE VEDRA BEACH,FL,32082,19045882387,Jillian.Bowles@elase.com,{'url': 'https://elase.com/'}
Elase - Town Center,4853 Big Island Drive,Jacksonville,FL,32246,19046867525,Meredith@theamaramedspa.com,{'url': 'https://elase.com/'}
Advanced Dermatology and Cosmetic Surgery San Marco,"1639 Atlantic Blvd, Suite 100",Jacksonville,FL,32207,18664003376,joanne.nose@adcsclinics.com,{'url': 'https://www.advancedderm.com/'}
V/O Med Spa Holly Springs,"128 Grand Hill Place, Ste 203",Holly Springs,NC,27540,19199989353,cassie.binder@tejviholdings.com,{'url': 'https://www.viomedspa.com/locations/holly-springs'}
Elase - Avondale,3635 ST JOHNS AVENUE,JACKSONVILLE,FL,32205,19045882387,Laurel.Asay@elase.com,{'url': 'https://elase.com/'}
Advanced Dermatology and Cosmetic Surgery-Jacksonville-Bayard,"12525 Philips HWY, Ste 101-102",Jacksonville,FL,32256,19044006565,purchasing@adcsclinics.com,{'url': 'https://www.advancedderm.com/'}
Avail Aesthetics,"251 Keisler Dr., Ste 201",Cary,NC,27518,19193225440,info@availaesthetics.com,{'url': 'https://availaesthetics.com/'}
Clemson Eye,322 Union Station Drive,Seneca,SC,29678,18556542020,callison@clemsoneye.com,{'url': 'https://www.clemsoneye.com/'}
ADCS Clinics - Chimney Lakes,"7855 ARGYLE FOREST BLVD, SUITE 701",JACKSONVILLE,FL,32244,14074462333,tiffany.byrd@adcsclinics.com,{'url': 'https://www.advancedderm.com/'}
Dermatology of Athens,"1220 Langford Drive, Bldg 100 Ste 103",Watkinsville,GA,30677,17063538220,alice.harper@dermathens.com,{'url': 'https://www.dermathens.com/'}
Lorena Luca Spa & Skin Clinic,"412 Woodburn Rd, #201",Raleigh,NC,27605,19199770090,melissa@lorenaluca.com,{'url': 'http://www.lorenaluca.com'}
The Laser Studio,2600 Northside Crossing,Macon,GA,31210,14784748500,ecdorsey2003@gmail.com,{'url': 'https://laserstudiomiddlega.com/'}
Southern Dermatology,"4201 Lake Boone Trl, Ste 200",Raleigh,NC,27607,19198630074,tsuchoza@aadermatology.com,{'url': 'http://www.southernderm.com'}
Avail Aesthetics,2006 Fairview Rd,Raleigh,NC,27608,19193225440,info@availaesthetics.com,{'url': 'https://availaesthetics.com/'}
V/O Med Spa Durham,"8200 RENAISSANCE PARKWAY, SUITE 1005",DURHAM,NC,27713,19199989353,durhammgr@viomedspa.com,{'url': 'https://www.viomedspa.com/'}
Aesthetic Solutions,"5821 Farrington Rd, Ste 101",Chapel Hill,NC,27517,19194036200,billing@aesthetic-solutions.com,{'url': 'http://www.aesthetic-solutions.com'}
Beauty Co Medical Spa,"1110 Mercantile Drive, Ste 100",Raleigh,NC,27609,19842220026,beautycoerica@gmail.com,{'url': 'https://beautycoraleigh.com/'}
Elase - St. Augustine,2100 A1A S,ST. AUGUSTINE,FL,32080,19045882387,Sarah@theamaramedspa.com,{'url': 'https://elase.com/'}
Allen Aesthetic Surgery,6733 Falls of Neuse Rd,Raleigh,NC,27615,19196765052,coordinator@allenaestheticsurgery.com,{'url': 'http://www.allenaestheticsurgery.com'}
Eastern Dermatology and Pathology,3311 Trent Rd,New Bern,NC,28562,12526342885,edpcosmetics@easternderm.com,{'url': 'http://www.easternderm.com/'}
Rinnova Spa and Wellness Center,"2098 Mayhew Drive, Suite A",New Bern,NC,28560,12526491617,manager@rinnovaspa.com,{'url': 'https://www.rinnovaspa.com/'}
Avail Aesthetics,"2824 Rogers Rd, Ste 102",Wake Forest,NC,27587,19193225440,info@availaesthetics.com,{'url': 'https://availaesthetics.com/'}
Dermatology Consultants P.C. Covington,4151 Hospital Dr,Covington,GA,30014,17707840343,amandag@dermatologyconsultants.org,{'url': 'http://www.dermatologyconsultants.org/'}
Georgia Dermatology Partners - Gwinnett,117 Lee Byrd Rd,Loganville,GA,30052,17709724845,lbrown@gadermparners.com,{'url': 'https://www.gwinnettdermatology.com/'}
Plastic Surgery Associates of Valdosta,230 Northside Drive,Valdosta,GA,31602,19124525722,Rdriver@sonyamerrimanmd.com,{'url': 'https://www.sonyamerrimanmd.com/'}
Georgia Dermatology Partners - Gwinnett,"1515 River Pl, Ste 300",Braselton,GA,30517,17709724845,lbrown@gadermparners.com,{'url': 'https://www.gwinnettdermatology.com/'}
Georgia Dermatology Partners - Gwinnett,2383 Pate Street,Snellville,GA,30078,17709724845,lbrown@gadermparners.com,{'url': 'https://www.gwinnettdermatology.com/'}
Olansky Dermatology & Aesthetics,"1505 Northside Blvd, #1500",Cumming,GA,30041,14043555484,tryan@olanskydermatology.com,{'url': 'https://www.olanskydermatology.com/'}
MetroDerm,"3155 North Point Parkway, E100",Alpharetta,GA,30005,17704756222,EK@metroderm.org,{'url': 'http://www.metroderm.org'}
Spa Sydell Integrative Aesthetics,10593 Old Alabama Connector Road,Alpharetta,GA,30022,14042557727,ldavis@spasydell.com,{'url': 'http://spasydell.com/'}
OVME Medical Aesthetics,"2685 OLD MILTON PKWY, BLDG 200, SUTE 120",ALPHARETTA,GA,30009,14702896863,lindsey.biller@ovme.com,{'url': 'http://www.ovme.com'}
Olansky Dermatology & Aesthetics,"3379 Peachtree Rd NE, Ste 500",Atlanta,GA,30326,14043555484,tryan@olanskydermatology.com,{'url': 'https://www.olanskydermatology.com/'}
Spa Sydell Integrative Aesthetics,"4520 Olde Perimeter Way, 2nd Floor",Atlanta,GA,30305,14042557727,ldavis@spasydell.com,{'url': 'http://spasydell.com/'}
Ellemes Medical Spa,"5505 Peachtree Dunwoody Rd, Ste 630",Atlanta,GA,30342,14702226581,lauren@ellemesmedspa.com,{'url': 'https://ellemesmedspa.com/'}
Dermatology Affiliates,"3131 Maple Drive, Ste 102",Atlanta,GA,30305,14048167900,kelly.mcclain@dermaff.com,{'url': 'https://dermatologyaffiliates.com/'}
Peachtree Dermatology Associates,"371 East Paces Ferry Rd, Ste 900",Atlanta,GA,30305,14043551919,amaiyer@hotmail.com,{'url': 'http://www.peachtreedermatology.com/'}
SkinSpirit,"3330 PIEDMONT ROAD NORTH EAST, SUITE 7",ATLANTA,GA,30305,14047260500,accountspayable@skinspirit.com,{'url': 'https://www.skinspirit.com/'}
MetroDerm,"875 Johnson Ferry Rd, Ste 300",Atlanta,GA,30342,14048354191,EK@metroderm.org,{'url': 'http://www.metroderm.org'}
Artisan Beaute,"3150 Roswell Rd NW, Ste B-1",Atlanta,GA,30305,17706372919,jills@artisanbeaute.com,{'url': 'https://artisanbeaute.com/'}
Spa Sydell Integrative Aesthetics,"3005 Peachtree Rd NE, Suite E",Atlanta,GA,30305,14042557727,ldavis@spasydell.com,{'url': 'https://spasydell.com/'}
OVME Medical Aesthetics,"3535 PIEDMONT ROAD NORTH EAST, BLDG 14, SUITE 450",ATLANTA,GA,30305,13475024548,nakia.henderson@ovme.com,
Woo Skincare-Cosmetics,2339 Peachtree Rd,Atlanta,GA,30305,14048690300,kristin@wooskincareandcosmetics.com,{'url': 'http://www.wooskincareandcosmetics.com/'}
Dermatology Affiliates,"691 14th Street NW, Suite E",Atlanta,GA,30318,14048167900,kelly.mcclain@dermaff.com,{'url': 'https://dermatologyaffiliates.com/'}
Artisan Beaute Westside,"1100 Howell Mill Rd, Ste A01",Atlanta,GA,30318,17706372919,jills@Artisanbeaute.com,{'url': 'https://www.artisanbeautewestside.com/'}
Olansky Dermatology & Aesthetics,"11755 Pointe Place, Suite B",Roswell,GA,30076,14043555484,tryan@olanskydermatology.com,{'url': 'https://www.olanskydermatology.com/'}
Georgia Skin Specialists,"1800 Howell Mill Rd, Ste 680",Atlanta,GA,30318,14043521730,spuzyrewicz@gaskinspecialists.com,{'url': 'https://georgiaskinspecialists.com/'}
Pure Aesthetics,217 NW 76th Dr,Gainesville,FL,32607,13523327873,carissablaser@att.net,{'url': 'http://pureaestheticsgainesville.com'}
The Skin Society,"300 Trilith Parkway, Suite 215",Fayetteville,GA,30214,18333387546,katiebelle@theskinsociety.com,{'url': 'http://www.theskinsociety.com/'}
Dermatology Consultants Buckhead,"3280 Howell Mill Rd. NW, Ste 101",Atlanta,GA,30327,14043517546,angelas@dermatologyconsultants.org,{'url': 'http://www.dermatologyconsultants.org'}
Woo Skincare-Cosmetics,3509 Northside Parkway NW,Atlanta,GA,30327,14048690300,kristin@wooskincareandcosmetics.com,{'url': 'http://www.wooskincareandcosmetics.com/'}
Advanced Dermatology and Cosmetic Surgery - Port Orange,1720 Dunlawton Ave,Port Orange,FL,32127,13863228310,jennifer.terry@adcsclinics.com,{'url': 'https://www.advancedderm.com/'}
Dermatology Affiliates,"4939 Lower Roswell Road, Suite 104A",Marietta,GA,30068,14048167900,kelly.mcclain@dermaff.com,{'url': 'https://dermatologyaffiliates.com/'}
The Luxe Medspa,"5041 Dallas Hwy, Bldg 500 Suite 508",Powder Springs,GA,30127,17702037480,info@theluxemedspa.com,{'url': 'https://www.theluxemedspa.com/'}
Water's Edge Dermatology Palm Beach Gardens,"921 Town Center Dr, Ste 200",Orange City,FL,32763,13863191988,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Water's Edge Dermatology Palm Beach Gardens,2910 SE 3rd Court,Ocala,FL,34471,13522695546,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Water's Edge Dermatology Palm Beach Gardens,"7502 SW 60th Ave, Unit A",Ocala West,FL,34476,13523259908,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Lane Dermatology and Dermatologic Surgery,1210 Brookstone Centre Pkwy,Columbus,GA,31904,17063221717,lpotter@lanederm.com,{'url': 'http://www.lanederm.com'}
Water's Edge Dermatology Palm Beach Gardens,562 N US Hwy 441,Lady Lake,FL,32159,13522896280,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Water's Edge Dermatology Palm Beach Gardens,"8000 Red Bug lake Road, Ste 100",Oviedo,FL,32765,13212443329,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Reflections Dermatology and Center for Skin Care,440 W Morse Blvd,Winter Park,FL,32789,14078958818,kpalceski@gmail.com,{'url': 'http://reflectionsdermatology.com'}
Reflections Dermatology and Center for Skin Care,875 Outer Rd,Orlando,FL,32814,14078958818,kpalceski@gmail.com,{'url': 'http://reflectionsdermatology.com'}
4Ever Young Anti Aging Solutions,1436 Alden Road,Orlando,FL,32803,14076983141,ericr@4everyounglakeivanhoe.com,{'url': 'http://www.4everyounglakeivanhoe.com'}
My Best Skin,"320 N Magnolia Ave, Suite A3",Orlando,FL,32801,14073859267,angie.coelho@hotmail.com,
Skin Solutions By Rachel,"320 N Magnolia Ave, Suite B3",Orlando,FL,32801,14073351447,racheladkinson@outlook.com,{'url': 'https://skinsolutionsbyrachel.glossgenius.com/'}
V/O Med Spa SoDo,2205 S ORANGE AVENUE,ORLANDO,FL,32806,14076351846,sodomgr@viomedspa.com,{'url': 'https://www.viomedspa.com/'}
Southeastern Dermatology,1930 PINNACLE POINTE WAY,KNOXVILLE,TN,37922,18654748800,mburchfield@drdoppelt.com,{'url': 'http://www.drdoppelt.com'}
The Aesthetic House,6001 W Nordling Loop,Crystal River,FL,34429,13526011990,cortnie@aesthetichouse.com,{'url': 'https://aesthetichouse.com/'}
Water's Edge Dermatology Palm Beach Gardens,7605 Conroy Windermere Rd,Windermere,FL,32835,13212446799,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
The Skin Wellness Center,"10215 Kingston Pike, Ste 200",Knoxville,TN,37922,18655848580,heatherg@swcknox.com,{'url': 'http://theskinwellnesscenter.net'}
Revive Aesthetics,2301 NORTH OCOEE STREET,CLEVELAND,TN,37312,14239943194,cleveland@wereviveu.com,{'url': 'https://www.wereviveu.com/'}
Water's Edge Dermatology Palm Beach Gardens,3002 17th St,Saint Cloud,FL,34769,13212446750,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Revive Aesthetics Wellness,1605 Gunbarrel Rd,Chattanooga,TN,37421,14239943194,traci_rn222@yahoo.com,{'url': 'https://www.wereviveu.com/'}
Divinity Med Spa,13248 Spring Hill Dr,Spring Hill,FL,34609,13526062980,info@divinitymedspa.co,{'url': 'https://divinitymedspa.co/'}
Gulf Coast Cosmetics,11034 Spring Hill Drive,Spring Hill,FL,34608,17278593789,gulfcoastcosmeticlinda@gmail.com,{'url': 'https://gulfcoastcosmetics.com/'}
Larimar Medspa,"307 Manufacturers Rd, Ste 201",Chattanooga,TN,37405,14237558880,dthompson@larimarmedspa.com,{'url': 'http://www.larimarmedspa.com/'}
Pariser Dermatology Specialists,"6160 Kempsville Circle, Suite 200A",Norfolk,VA,23502,17573135813,eriley@pariserderm.com,{'url': 'https://pariserderm.com/'}
Integrated Dermatology of Tidewater,"885 Kempsville Rd., Suite 309",Norfolk,VA,23502,17574611033,asanchez@mydermgroup.com,{'url': 'https://www.idtidewater.com/'}
Laser and Cosmetic Center,125 Market St,Virginia Beach,VA,23462,17574378900,vnoone@drmcdaniel.com,{'url': 'http://www.drmcdaniel.com/'}
Medical Spa at Watson Clinic,1755 N. Florida Ave.,Lakeland,FL,33805,18639046204,jwalter@watsonclinic.com,{'url': 'https://www.watsonclinic.com/'}
Gulf Coast Cosmetics,"11522 US Highway 19, Bldg B",Port Richey,FL,34668,17278593789,gulfcoastcosmeticlinda@gmail.com,{'url': 'https://gulfcoastcosmetics.com/'}
OVME Medical Aesthetics,6239 RIVER ROAD,RICHMOND,VA,23229,18049056863,richmondmanager@ovme.com,{'url': 'http://www.ovme.com'}
Water's Edge Dermatology Palm Beach Gardens,22411 US Hwy 27,Lake Wales,FL,33859,18639494813,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Michael Godin MD Facial Plastic and Reconstructive Surgery,410 Libbie Ave,Richmond,VA,23226,18042858578,tracy@drgodin.com,{'url': 'http://drgodin.com/'}
Revee Aesthetics,5300 Patterson Ave,Richmond,VA,23226,18042705920,lsawyer@myrevee.com,{'url': 'https://www.myrevee.com/'}
Forefront Dermatology Virginia Beach,"1157 First Colonial Rd, Suite 300",Virginia Beach,VA,23454,17573338001,Leilani.lohndorf@forefrontderm.com,{'url': 'https://forefrontdermatology.com/'}
The Skin Chic,"700 19th St, Ste 105",Virginia Beach,VA,23451,17576525118,theskinchic1@gmail.com,{'url': 'https://theskinchic.com/'}
Dermlounge,"11934 Broad Street, Suite 110",Richmond,VA,23233,18046215381,ddemore@drzemmel.com,{'url': 'https://www.dermlounge.com/'}
Gulf Coast Cosmetics,"1404 Epiphany Way, Unit Q Ã¢â‚¬â€œ 103",Trinity,FL,34655,17273894442,gulfcoastcosmeticlinda@gmail.com,{'url': 'https://gulfcoastcosmetics.com/'}
Aspire Medspa & Beauty Bar,12932 N Dale Mabry Hwy,Tampa,FL,33618,18135100770,Rosaly@aspiremedspas.com,{'url': 'https://www.aspiremedspas.com/'}
Living Young Center of Palm Harbor,35196 US Hwy 19 N,Palm Harbor,FL,33684,17273516212,gui@livingyoungcenter.com,{'url': 'https://livingyoungcenter.com/'}
V/O Med Spa Valrico,"3321 LITHIA PINECREST ROAD, SUITE 3321",VALRICO,FL,33596,16562080120,sunny.zaidi@viomedspa.com,{'url': 'https://www.viomedspa.com/'}
Florida Westcoast Skin and Cancer Center,"2727 West Dr. Martin Luther King Blvd, Suite 630",Tampa,FL,33607,18138774811,mgriffin@floridadermatologyspecialists.com,{'url': 'http://www.scannondermatology.com'}
Brandon Dermatology,405 W Bloomingdale Ave,Brandon,FL,33511,18136623376,brandondermjaime@gmail.com,{'url': 'http://www.brandondermatology.com/'}
BevelUp,"3720 Midtown Drive, Suite F200",Tampa,FL,33607,18138077200,rdoyle@bevelup.com,{'url': 'http://www.bevelup.com'}
Watt Plastic Surgery,2615 W Swann Avenue,Tampa,FL,33609,18138780089,accounts@wattplasticsurgery.com,{'url': 'https://wattplasticsurgery.com/'}
AR Aesthetics,"4100 W Kennedy Blvd, Ste 130",Tampa,FL,33609,18136449964,karina@armedspa.com,
Academic Alliance in Dermatology - South Tampa,4238 W KENNEDY BLVD,TAMPA,FL,33609,18138796040,cmcguire@aadermatology.com,{'url': 'https://www.academicallderm.com/'}
Skin NV,3715 W Swann Ave,Tampa,FL,33609,18138394141,dori@skinnv.com,{'url': 'https://skinnv.com/'}
Water's Edge Dermatology Palm Beach Gardens,3140 US 27 S,Avon Park,FL,33825,18632257216,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Elase - Tampa,1155 S DALE MABRY HWY,TAMPA,FL,33629,18133657113,melissa.delouise@elase.com,{'url': 'https://elase.com/'}
Elevate,"2605 S MacDill Ave., Suite C",Tampa,FL,33629,18137654416,amanda@elevatetpa.com,{'url': 'https://www.elevatetpa.com/'}
The Aesthetics Lab,"4014 W Estrella St., Ste A",Tampa,FL,33629,18137733361,contactus@theaestheticslabtampa.com,{'url': 'http://bellamiamedical.com'}
Water's Edge Dermatology Palm Beach Gardens,4180 US Hwy 27 South,Sebring,FL,33870,18632257389,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Gayoso Plastic Surgery,1116 Dr. MLK Jr St N,Saint Petersburg,FL,33705,17273377830,Trich@drgayoso.com,{'url': 'https://www.gayosoplasticsurgery.com/'}
otal Skin and Beauty Dermatology Center - Gardendale,4913 Deerfoot Parkway,Trussville,AL,35173,12053806161,mark@totalskinandbeauty.com,{'url': 'https://totalskinandbeauty.com/'}
Water's Edge Dermatology Palm Beach Gardens,"9401 SW Discovery Way, #104",Port Saint Lucie,FL,34987,17722185156,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Water's Edge Dermatology Palm Beach Gardens,301 NE 19th Dr,Okeechobee,FL,34972,18632257345,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Inverness Dermatology Birmingham AL,250 Inverness Center Dr,Birmingham,AL,35242,12059955575,kjacobson@invernessderm.com,{'url': 'http://www.invernessderm.com'}
Water's Edge Dermatology Palm Beach Gardens,2601 South Kanner Hwy,Stuart,FL,34994,17722176829,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Cahaba Dermatology Skin Health Center,"2279 Valleydale Rd, Ste 100",Hoover,AL,35244,12052147546,cgulick@cahabaderm.com,{'url': 'https://cahabaderm.com'}
Gunn Dermatology,32 Church Street,Mountain Brook,AL,35213,12054157536,lauren@gunndermatology.com,{'url': 'https://www.gunndermatology.com/'}
Village Dermatology,2900 Cahaba Road,Mountain Brook,AL,35223,12058779773,katrina.danner@forefrontderm.com,{'url': 'https://villagedermatology.net/'}
Gunn Dermatology,391 Rele St,Birmingham,AL,35223,12054157536,lauren@gunndermatology.com,{'url': 'https://gunndermatology.com/'}
Renew Dermatology,"1651 Independence Ct, Ste 211",Homewood,AL,35209,12055801500,smurphy@renewdermatology.net,{'url': 'https://renewdermatology.net/'}
Skin Wellness Dermatology,"3415 Independence Drive, Ste 200",Birmingham,AL,35209,12058717332,vickie@skinwellness.com,{'url': 'https://skinwellness.com/'}
Smart Skin Med Spa,1931 29th Avenue South,Birmingham,AL,35209,12052664003,ssmedspa@yahoo.com,{'url': 'http://smartskinmedspa.com/'}
otal Skin and Beauty Dermatology Center - Gardendale,"1927 1st Avenue North, Woodward Building 1st Floor",Birmingham,AL,35203,12053806123,mark@totalskinandbeauty.com,{'url': 'https://totalon1st.com/'}
otal Skin and Beauty Dermatology Center - Gardendale,"1927 1st AVENUE NORTH, Ste B-50",Birmingham,AL,35203,12059330987,mark@totalskinandbeauty.com,{'url': 'https://totalskinandbeauty.com/'}
otal Skin and Beauty Dermatology Center - Gardendale,339 Walker Chapel Plaza,Fultondale,AL,35068,12053806162,mark@totalskinandbeauty.com,{'url': 'https://totalskinandbeauty.com/'}
otal Skin and Beauty Dermatology Center - Gardendale,"931 Sharit Avenue, Suite 202",Gardendale,AL,35071,12053806163,mark@totalskinandbeauty.com,{'url': 'https://totalskinandbeauty.com/'}
The Aesthetic Clinique,"2050 West County Highway 30A, Suite 114",Santa Rosa Beach,FL,32459,18506006997,akerestesy@weramp.com,{'url': 'https://theclinique.com/'}
Water's Edge Dermatology Palm Beach Gardens,163 N Brevard Ave,Arcadia,FL,34266,18632257401,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
SkinSmart Dermatology,"5911 N Honore Ave, Ste 210",Sarasota,FL,34243,19413087546,cristie@skinsmartdermatology.com,{'url': 'https://www.sarasotadermatologist.com/'}
otal Skin and Beauty Dermatology Center - Gardendale,"975 9th Avenue Southwest, Professional Office Building 2 Suite 210",Bessemer,AL,35022,12053806163,mark@totalskinandbeauty.com,{'url': 'https://totalskinandbeauty.com/'}
Skye Center For Dermatology,"224 Chimney Corner Ln, Ste 3002",Jupiter,FL,33458,15618200155,lisa@skyedermatology.com,{'url': 'http://skyedermatology.com/'}
V/O Med Spa Palm Beach Gardens,"5270 Donald Ross Rd, Suite 100",Palm Beach Gardens,FL,33418,15617258330,pbg@viomedspa.com,{'url': 'https://www.viomedspa.com/'}
New Radiance Cosmetic Center,"11701 Lake Victoria Gardens Ave, Ste 1105",Palm Beach Gardens,FL,33410,15617760116,contact.pbg@newradiancenow.com,{'url': 'http://www.radianceofpalmbeach.com/'}
Pinsky Plastic Surgery,"11020 RCA Center Drive, Ste 2010",Palm Beach Gardens,FL,33410,15618818800,ap@wederm.com,{'url': 'http://pinskyplasticsurgery.com'}
Water's Edge Dermatology Palm Beach Gardens,"600 Village Square Crossing, Suite 101",Palm Beach Gardens,FL,33410,15614635684,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
The Nest Day Spa,400 Ferry Street,Russell,KY,41169,16063882399,jordanhall05@outlook.com,{'url': 'https://www.thenestdayspa.com/'}
Pinnacle Dermatology Murfreesboro,1725 Medical Center Pkwy,Murfreesboro,TN,37129,16158934100,Cindy.Walker@pinnacleskin.com,{'url': 'http://www.dermclinics.com'}
Maragh Dermatology Surgery & Vein Institute,"419 Holiday Ct, Ste 10",Warrenton,VA,20186,15408785781,kmaragh@novadermatology.com,{'url': 'https://maraghdermatology.com/'}
Water's Edge Dermatology Palm Beach Gardens,2031 Palm Beach Lakes Blvd,West Palm Beach,FL,33409,15614635937,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Water's Edge Dermatology Palm Beach Gardens,112 SW C Owens Ave,Clewiston,FL,33440,18632257248,Srovendro@wederm.com,{'url': 'http://www.wederm.com'}
Advanced Dermatology and Cosmetic Surgery - La Plata,"101 Centenial St, Ste H",La Plata,MD,20646,13013631864,sarah.watson@adcsclinics.com,{'url': 'https://www.advancedderm.com/'}
