code,name,zipcode,zipcode_address,latitude,longitude,contact_email,shippingEmail,billing_phone,contact_phone,billing_street_address_1,billing_city,billing_province,billing_postal_code,billing_country,clinic_street_address_1,clinic_street_address_2,clinic_city,clinic_province,clinic_country,clinic_postal_code,website,is_diamond_provider,reward_tier_name,reward_tier_number,reward_tier_rank,digital_excellence,hide_from_clinic_locator,distance_in_km
QRBRBWCT,The Desert Mountain Club,85262,"Scottsdale, AZ 85262, USA",33.791107,-111.809158,kprinty@desertmt.com,pfales@desertmt.com,4805954000,4805954000,10225 E Desert Hills Drive,Scottsdale,AZ,85262,US,10225 E Desert Hills Drive,,Scottsdale,AZ,US,85262,https://www.desertmountain.com/,no,partner,1,6,no,no,71.96946840092818
MEWBXGZU,"LaVida Massage and MedSpa, LLC - Mesa",85215,"Mesa, AZ 85215, USA",33.519547,-111.546829,lavidacosmosgm@gmail.com,lavidacosmosgm@gmail.com,+4808442767,+4808442767,2837 N Power Rd,Mesa,AZ,85215,US,2837 N Power Rd,108,Mesa,AZ,US,85215,https://lavidamedspa.com/,no,bronze,2,6,yes,no,72.23889169704991
5HUKRDKW,Haley MD,85255,"Scottsdale, AZ 85255, USA",33.680302,-111.833008,Drjenhaley@gmail.com,Drjenhaley@gmail.com,4359018846,4359018846,17692 N. 93rd Way,Scottsdale,AZ,85255,US,17692 N. 93rd Way,,Scottsdale,AZ,US,85255,http://drjenhaley.com/,no,bronze,2,5,yes,no,79.61950015393488
NV9TYXBN,"Blue Stone Therapy, LLC",85259,"Scottsdale, AZ 85259, USA",33.591045,-111.797241,bluestonetherapy1@gmail.com,Bluestonetherapy1@gmail.com,6024058182,6024058182,10769 N Frank Llyod Wright Blvd,Scottsdale,AZ,85259,US,10769 N Frank Lloyd Wright Blvd STE 110,,Scottsdale,AZ,US,85259,https://www.bluestonetherapyAZ.com/,no,partner,1,6,no,no,82.55825098051942
QLRQYGPX,"Bella Angelic SkinCare, LLC",85260,"Scottsdale, AZ 85260, USA",33.616028,-111.892632,michaela@bellaangelicskincare.com,Michaela@BellaAngelicSkinCare.com,6028202768,6028202769,1655 East Runion Drive,Phoenix,AZ,85024,US,15454 N Frank Lloyd Wright Blvd,"Suite A2, Studio 16",Scottsdale,AZ,US,85260,https://bellaangelicskincare.com/,no,partner,1,6,yes,no,88.103065505166
XJKPVYQV,Pure Benefits Aesthetic and Wellness,85260,"Scottsdale, AZ 85260, USA",33.616028,-111.892632,kaitlinjones.az@gmail.com,kaitlinjones.az@gmail.com,6029097798,6029097798,15600 N Hayden Rd ,Scottsdale,AZ,85260,US,15600 N Hayden Rd,#110,Scottsdale,AZ,US,85260,https://purebenefitswellness.com/,no,partner,1,6,no,no,88.103065505166
vkQkv9Yl,Sonoran Skin Renewal,85260,"Scottsdale, AZ 85260, USA",33.616028,-111.892632,polly@sonoranskinrenewal.com,polly@sonoranskinrenewal.com,4808088498,4808088498,5010 e monte cristi ave,Scottsdale,AZ,85254,US,16638 N 90th st,unit 102,Scottsdale,AZ,US,85260,https://sonoranskinrenewal.com/,no,partner,1,6,yes,no,88.103065505166
2QHQ4KNP,Lee Eyecare Center,85209,"Mesa, AZ 85209, USA",33.380421,-111.636261,bpjlee5@gmail.com,bpjlee5@gmail.com,4802313741,4802313741,9265 E Baseline Rd,Mesa,AZ,74209,US,9265 Baseline Road,,Mesa,AL,US,85209,,no,partner,1,7,no,no,89.68611275121953
EXDZVJ45,Southwest Skin Specialists LLC.,85254,"Scottsdale, AZ 85254, USA",33.607182,-111.940323,mstudabaker@usdermpartners.com,mstudabaker@usdermpartners.com,4805913500,4805913500,5310 Harvest Hill Rd,Dallas,AZ,75230,US,10900 North Scottsdale Rd,201,Scottsdale,AZ,US,85254,https://www.usdermatologypartners.com/provider/jacqueline-watchmaker-md/,no,partner,1,6,no,no,92.34687883612573
229K29AS,PURESKIN,85024,"Phoenix, AZ 85024, USA",33.689396,-112.041672,contact@pureskinarizona.com,contact@pureskinarizona.com,6024926263,6024926263,1175 E Lone Cactus Drive,Phoenix ,AZ,85024,US,1175 E Lone Cactus Drive,Ste G1,Phoenix,AZ,US,85024,https://pureskinarizona.com/,no,partner,1,6,yes,no,96.21777574535
RK4G6CBL,Blessed Beauty Boutique,85032,"Phoenix, AZ 85032, USA",33.636452,-112.011864,blessedbotox@gmail.com,blessedbotox@gmail.com,7183129164,7183129164,12450 N 32nd St,Phoenix,AZ,85032,US,12450 N 32nd St,Suite 3,Phoenix,AZ,US,85032,https://blessedbeautyaz.com/,no,partner,1,6,yes,no,96.40295845129616
RF5JT2PG,"Elev8 Aesthetics, LLC",85901,"Show Low, AZ 85901, USA",34.351547,-110.092613,elev8aesthetics1@gmail.com,elev8aesthetics1@gmail.com,9288922570,9288922570,5300 S. Sutter Drive,Show Low,AZ,85901,US,509 N. 9th St.,,Show Low,AZ,US,85901,,no,partner,1,6,no,no,98.02539350924044
SZYPKKNM,Innovative EyeCare,85251,"Scottsdale, AZ 85251, USA",33.498631,-111.92244,drleah@innovativeeye.care,drleah@innovativeeye.care,4806081560,4806081560,7301 E. 2nd Street,Scottsdale,AZ,85251,US,7301 E 2nd St,Suite 202,Scottsdale,AZ,US,85251,http://innovativeeye.care/,no,partner,1,6,no,no,98.0367150509686
R4ZEYSFL,Urban Renewal Skincare Bar,85253,"Scottsdale, AZ 85253, USA",33.538849,-111.964172,taylorlanemac@gmail.com,taylorlanemac@gmail.com,4802622302,4802622302,4512 N Rubicon ave,Phoenix,AZ,85018,US,CURRENTLY NO BUSINESS ADDRESS,,Paradise Valley,AZ,US,85253,https://www.urskinbar.com/,no,partner,1,6,no,no,98.42084520601172
GTCTXGL7,SkinFairy Aesthetics,85027,"Phoenix, AZ 85027, USA",33.678238,-112.101288,info@skinfairyaesthetics.com,Cristinakellerskin@gmail.com,6027305860,6027305860,615 W. Deer Valley Rd,Phoenix,AZ,85027,US,615 w. Deer Valley Rd.,Suite 124,Phoenix,AZ,US,85027,https://www.skinbycristina.com/,no,partner,1,6,no,no,101.75187429874754
XUP93NK4,"Candeo Clinic, LLC",85233,"Gilbert, AZ 85233, USA",33.351929,-111.821091,amjohns4@hotmail.com,amjohns4@hotmail.com,6236405899,6236405899,"1450 West Guadalupe Road, ",Gilbert,AZ,85233,US,"1450 West Guadalupe Road,",suite 120,Gilbert,AZ,US,85233,https://candeoclinic.com/,no,partner,1,6,yes,no,102.63543454692652
WE9TUR69,Skin Care Specialist,85202,"Mesa, AZ 85202, USA",33.379425,-111.874748,lsilvaskinillum@yahoo.com,lsilvaskinillum@yahoo.com,4808359755,4808359755,1450 S Dobson Rd Ste 320B,Mesa,AZ,85202,US,1450 S Dobson Rd,Ste 320B,Mesa,AZ,US,85202,https://www.skinilluminance.com/,no,partner,1,6,no,no,103.73238331473074
C7LAXWYM,Biltmore Skin Care Center,85016,"Phoenix, AZ 85016, USA",33.51067,-112.029755,molly@skinserenityaz.com,molly@skinserenityaz.com,6022246100,6022246100,2525 E Arizona Biltmore Cir,Biltmore,AZ,85016,US,2525 E. Arizona Biltmore circle suite 121,,Phoenix,AZ,US,85016,https://www.biltmoreskincare.com/,no,partner,1,6,no,no,105.19502426733342
NE6BPB4F,Alchemy IV and Med Bar,85310,"Glendale, AZ 85310, USA",33.694744,-112.154945,alchemyivandmedbar@gmail.com,alchemyivandmedbar@gmail.com,6235722525,6235722525,6525 W Happy Valley Rd ,Glendale,AZ,85310,US,6525 W Happy Valley Rd,C107,Glendale,AZ,US,85310,,no,partner,1,6,no,no,105.59347354725736
U8UFRK4A,Essence Medical Center,85225,"Chandler, AZ 85225, USA",33.309196,-111.821091,paulalimanmd@gmail.com,contact@essencemedicalcenter.com,4804420079,4804420079,973 W. Elliot Road #2,Chandler,AZ,85225,US,973 W Elliot road,Suite 2,Chandler,AZ,US,85225,https://essencemedicalcenter.com/,no,partner,1,6,yes,no,106.27966869476693
AJEUXZPE,Infinity Signature Aesthetics,71901,"Hot Springs, AR 71901, USA",34.516689,-92.977554,infinitysignatureaesthetics@gmail.com,infinitysignatureaesthetics@gmail.com,5015479475,5015479475,2350 Malvern Ave,Hot Springs,AR,71901,US,2350 Malvern Ave,Suite A,Hot Springs,AR,US,71901,https://linktr.ee/infinitysignatureaesthetics?fbclid=IwAR1ErRvgWMTGzDCT-I9k3XsPmJxPs-57__vSTYx5ydJpafU63pU8NVfgIoQ,no,bronze,2,5,yes,no,129.30028658187695
HZPGHEDC,Sarah's Aesthetics,38117,"Memphis, TN 38117, USA",35.110332,-89.901955,sgold988@bellsouth.net,sgold988@bellsouth.net,9017342638,90173426389017342638,1579 Arcadia St,Memphis,TN,38119,US,5160 Sanderlin Ave.,Suite 4,Memphis,TN,US,38117,https://www.sarahsaesthetics.com/,no,bronze,2,5,yes,no,175.73552461036672
DKXQPBJH,Taylorwood LLC,38120,"Memphis, TN 38120, USA",35.121292,-89.855179,taylorwoodsalon@gmail.com,taylorwoodsalon@gmail.com,9012336218,9012336218,5160 Sanderlin Avenue,Memphis,TN,38117,US,5160 Sanderlin AVE ste 7,,Memphis,TN,US,38120,https://www.taylorwood.co/,no,partner,1,6,no,no,179.9046756132977
BPX8LC1P,Body For Life LLC,38133,"Bartlett, TN 38133, USA",35.209187,-89.798981,camrynburnette@gmail.com,camrynburnette@gmail.com,9013733300,9013733300,8046 N Brother BLVD,Bartlett,TN,38133,US,8046 N Brother BLVD,Suite 103,Bartlett,TN,US,38133,,no,partner,1,6,no,no,184.6967562670445
ZX9B2FSX,"Accucare Medical Clinic, LLC",65616,"Branson, MO 65616, USA",36.67342,-93.238251,contactaccucare@gmail.com,contactaccucare@gmail.com,4177833337,4177833337,280 Wintergreen Road,Branson,MO,65616,US,"280 Wintergreen Road,",,Branson,MO,US,65616,,no,partner,1,6,no,no,206.96407874773237
GBAGULZ4,The Aesthetic Eye,72703,"Fayetteville, AR 72703, USA",36.119251,-94.038895,theaestheticeyenwa@gmail.com,theaestheticeyenwa@gmail.com,4799037393,4799037393,1810 N College Ave,Fayetteville,AR,72703,US,1810 N College Ave,Suite 110,Fayetteville,AR,US,72703,https://www.theexclusiveeye.com/,no,partner,1,6,yes,no,224.00685716754927
32Q9Z9XQ,Alcheme Medspa LLC,63841,"Dexter, MO 63841, USA",36.760403,-89.981346,brooke@alchememedicalspa.com,brooke@alchememedicalspa.com,5736259122,5736259122,101 S Locust St,Dexter,MO,63841,US,101 S Locust St,STE B,Dexter,MO,US,63841,https://alchememedicalspa.com/,no,partner,1,6,yes,no,240.3834380108856
XU9PBOH2,Parenti Morris Eye Care,72758,"Rogers, AR 72758, USA",36.29892,-94.171852,drstarkey@parentimorris.com,drstarkey@parentimorris.com,4796361960,4796361960,3710 Southern Hills Blvd,Rogers,AR,72758,US,3710 Southern Hills Blvd,Ste 200,Rogers,AR,US,72758,https://www.parentimorris.com/,no,partner,1,6,yes,no,243.90549147577013
0E0YXEHV,Jeffries Eye Clinic,72758,"Rogers, AR 72758, USA",36.29892,-94.171852,admin@jeffrieseye.org,admin@jeffrieseye.org,4796318900,4796318900,3602 W Southern Hills Blvd,Rogers,AR,72758,US,3602 W Southern Hills Blvd,,Rogers,AR,US,72758,,no,no_tier,0,99,no,no,243.90549147577013
98E893W6,Nettie J's Beauty & Botox Parlor,65807,"Springfield, MO 65807, USA",37.175697,-93.328819,nettiejsbeautyparlor@gmail.com,nettiejsbeautyparlor@gmail.com,4172345622,4172345622,3100 S National Ave,Springfield,MO,65807,US,600 West Republic Road,B100,Springfield,MO,US,65807,https://www.nettiejsbeautyandbotoxparlor.com/,no,partner,1,6,no,no,257.39932964997416
GL5VAAE2,Refining Your Glow DBA Beauty + Wellness Co,65738,"Republic, MO 65738, USA",37.138058,-93.520561,beautywellnesscotox@gmail.com,beautywellnesscotox@gmail.com,4178385464,4178385464,133 State Highway 174,Republic,MO,65738,US,133 State Highway 174,,Republic,MO,US,65738,https://www.beautyandwellnessco.com/,no,partner,1,6,yes,no,263.3691450795704
VT7JQLXD,Rejuvenate Wellness and MedSpa,38305,"Jackson, TN 38305, USA",35.668476,-88.730156,ginger@rejuvenate-tennessee.com,ginger@rejuvenate-tennessee.com,7317986133,7317986133,797 Grayson Ln,Jackson,TN,38305,US,1348 Union University Dr,Suite C,Jackson,TN,US,38305,https://rejuvenate-tennessee.com/,no,partner,1,6,yes,no,285.76117090849993
7JFX749X,Nordstar Medical Skincare & Laser Center,38305,"Jackson, TN 38305, USA",35.668476,-88.730156,kimberly@nordstarmedical.com,kimberly@nordstarmedical.com,7312019982,7312019982,2027 Greystone Square,Jackson,TN,38305,US,2027 Greystone Square,,Jackson,TN,US,38305,https://nordstarmedical.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,no,bronze,2,5,no,no,285.76117090849993
YKWMU3X2,Restorative Skin Care LLC,63640,"Farmington, MO 63640, USA",37.765564,-90.412521,restorativeskincarebyjulie@gmail.com,restorativeskincarebyjulie@gmail.com,5094299678,5094299678,3 North main street,Farmington,MO,63640,US,2 N Main St,,Farmington,MO,US,63640,https://restorative-skin-care.square.site/,no,partner,1,6,yes,no,312.10670245452
