name,address_line_1,address_line_2,city,state,zip,location,customer_class,loyalty,grade,national_account,national_account_id,phone,website,latitude,longitude
Massage Envy - Arrowhead - 02-0003,8110 West Bell Road,,Glendale,AZ,85308,"8110 West Bell Road, Glendale, Az 85308",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.640268,-112.231393
Massage Envy - Goodyear - 02-0028,"1468 N Litchfield Rd., Ste. #M3",,Goodyear,AZ,85338,"1468 N Litchfield Rd., Ste. #M3, Goodyear, AZ 85338",MECLASS,NONE,A,Massage Envy Franchising,11041861,,,33.463867,-112.359398
Restore Hyper Wellness - Goodyear (AZ019),1400 N Litchfield Rd.,Unit G-9,Goodyear,AZ,85395,"1400 N Litchfield Rd., Goodyear, AZ 85395",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(623) 239-2277,,33.460897,-112.36088
Skin Deep by Victoria,14960 W Indian School Rd,Ste 340,Goodyear,AZ,85395,"14960 W Indian School Rd, Goodyear, AZ 85395",MEDICALSPA,NONE,D,,,,,33.485982,-112.372196
Aesthetic Solutions of AZ,2029 Acoma Blvd.,W. Unit B,Lake Havasu City,AZ,86403,"2029 Acoma Blvd., Lake Havasu City, AZ 86403",DOCTOR,NONE,N,,,(928) 466-6916,www.aestheticsolutionsofaz.com,34.496329,-114.339021
Massage Envy - Laveen,7620 59th Ave,Suite 102,Laveen,AZ,85339,"7620 59th Ave, Laveen, AZ 85339",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.376843,-112.185642
Desert Reign Medspa,13000 W. Indian School Rd.,Suite A-2,Litchfield Park,AZ,85340,"13000 W. Indian School Rd., Litchfield Park, AZ 85340",DOCTOR,NONE,N,,,,,33.4934,-112.3394
Sunrise Aesthetics LLC,-,,Litchfield Park,AZ,85340,"-, Litchfield Park, AZ 85340",MEDICALSPA,NONE,N,,,(602) 469-7803,,33.5079,-112.3804
Frost Aesthetics,5058 E. Southern Ave,Ste 102,Mesa,AZ,85206,"5058 E. Southern Ave, Mesa, AZ 85206",MEDICALSPA,NONE,U,,,(480) 389-6579,,33.394468,-111.721856
Massage Envy - Dobson,"1657 South Dobson Rd., Ste. #B101",,Mesa,AZ,85202,"1657 South Dobson Rd., Ste. #B101, Mesa, AZ 85202",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,33.383178,-111.874512
Massage Envy - Mesa - 02-0004,"6626 East McKellips Rd., Ste. #105",,Mesa,AZ,85215,"6626 East McKellips Rd., Ste. #105, Mesa, AZ 85215",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.453458,-111.687884
Massage Envy - Superstition Gateway - 02,1946 S Signal Butte Rd,Ste 103,Mesa,AZ,85209,"1946 S Signal Butte Rd, Mesa, Az 85209",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.381985,-111.602911
Revive at the Parlor,9115 E Baseline Road,Suite C103,Mesa,AZ,85209,"9115 E Baseline Road, Mesa, AZ 85209",MEDICALSPA,NONE,N,,,(602) 920-0240,,33.376941,-111.637317
Skin by Brynn LLC,1919 E McKellips Rd Unit 106,,Mesa,AZ,85203,"1919 E McKellips Rd Unit 106, Mesa, AZ 85203",MEDICALSPA,NONE,D,,,(480) 201-7043,,33.451144,-111.789559
Skin by Katie,1225 N Gilbert Rd,,Mesa,AZ,85203,"1225 N Gilbert Rd, Mesa, AZ 85203",WHOLESALE,NONE,N,,,(480) 512-4630,https://skin-by-katie.square.site/,33.437902,-111.787481
Zynergy Skin,1910 S Stapley Dr,Suite 127,Mesa,AZ,85204,"1910 S Stapley Dr, Mesa, AZ 85204",MEDICALSPA,NONE,U,,,,,33.380533,-111.809011
Massage Envy - Northwest Tucson - 02-010,7645 N. Oracle Rd.,Ste 140,Oro Valley,AZ,85704,"7645 N. Oracle Rd., Oro Valley, Az 85704",MECLASS,NONE,B,Massage Envy Franchising,11041861,,,32.346809,-110.977954
"Stephen P Beals, Md",5410 N Scottsdale Rd,Ste E-300,Paradise Valley,AZ,85253,"5410 N SCOTTSDALE RD, Paradise Valley, AZ 85253",DOCTOR,NONE,D,,,,,33.515926,-111.927145
Massage Envy - Lake Pleasant - 02-0322,10006 W Happy Valley Pkwy,#1240,Peoria,AZ,85383,"10006 W Happy Valley Pkwy, Peoria, Az 85383",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.712981,-112.274704
Massage Envy - Peoria Park West - 02-019,9744 Northern Ave,,Peoria,AZ,85345,"9744 NORTHERN AVE, Peoria, AZ 85345",MECLASS,NONE,B,Massage Envy Franchising,11041861,,,33.553113,-112.269015
Restore Hyper Wellness - Lake Pleasant (AZ027),25738 N Lake Pleasant Pkwy,Ste F106,Peoria,AZ,85383,"25738 N Lake Pleasant Pkwy, Peoria, AZ 85383",DOCTOR,NONE,D,Restore Hyper Wellness - Parent Account,11061787,(623) 688-8355,,33.717276,-112.270369
Trilogy at Vistancia Community Assoc.,27980 N Trilogy Blvd,Ste 102,Peoria,AZ,85383,"27980 N Trilogy Blvd, Peoria, AZ 85383",WHOLESALE,NONE,E,,,,,33.738903,-112.331076
2 Sisters Skin Spa,21001 N. Tatum Blvd,18-1070 Ste 109,Phoenix,AZ,85050,"21001 N. Tatum Blvd, Phoenix, AZ 85050",MEDICALSPA,NONE,U,,,,,33.676354,-111.973651
Arizona Biltmore Resort,2400 E. Missouri Ave,,Phoenix,AZ,85016,"2400 E. Missouri Ave, Phoenix, AZ 85016",WHOLESALE,SILVER,N,Pyramid Global Hospitality,0012011672,,,33.517597,-112.021363
Inspire Skin Care LLC,1718 W South Fork Dr.,,Phoenix,AZ,85045,"1718 W South Fork Dr. , Phoenix, AZ 85045",MEDICALSPA,NONE,C,,,,,33.303436,-112.095935
Madison Avenue Int'l Salon & Day Spa,15210 S 50th St,Ste 150,Phoenix,AZ,85044,"15210 S 50th St, Phoenix, AZ 85044",WHOLESALE,SILVER,C,,,,,33.307969,-111.976562
Massage Envy - Ahwatukee - 02-0012,"4722 E. Ray Rd., Ste. 22 & 24",,Phoenix,AZ,85044,"4722 E. Ray Rd., Ste. 22 & 24, Phoenix, AZ 85044",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.321556,-111.981127
Massage Envy - Arcadia - 02-0077,3162 E. Indian School Rd,,Phoenix,AZ,85016,"3162 E. Indian School Rd, Phoenix, Az 85016",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,33.496023,-112.014405
Massage Envy - Camelback - 02-0020,1660 E Camelback Rd.,Ste #195,Phoenix,AZ,85016,"1660 E Camelback Rd., Phoenix, AZ 85016",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.510343,-112.04624
Massage Envy - Desert Ridge - 02-0931,"21001 N. Tatum Boulevard, Suite 29",,Phoenix,AZ,85050,"21001 N. Tatum Boulevard, Suite 29, Phoenix, AZ 85050",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.674283,-111.97447
Massage Envy - Moon Valley - 02-0023,275 E Bell Rd,Ste 101,Phoenix,AZ,85022,"275 E Bell Rd, Phoenix, Az 85022",MECLASS,NONE,B,Massage Envy Franchising,11041861,,,33.639026,-112.070412
Massage Envy - North Phoenix - 02-0078,2330 W Happy Valley Rd,Ste 1021,Phoenix,AZ,85027,"2330 W Happy Valley Rd, Phoenix, Az 85027",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.714214,-112.109512
Massage Envy - Paradise Valley - 02-0006,"13637 North Tatum Blvd., Ste #16",,Phoenix,AZ,85032,"13637 North Tatum Blvd., Ste #16, Phoenix, AZ 85032",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.610453,-111.97669
Massage Envy - Scottsdale 101 - 02-0013,7000 East Mayo Blvd Ste 1052,,Phoenix,AZ,85054,"7000 East Mayo Blvd Ste 1052, Phoenix, AZ 85054",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.656986,-111.930243
Priority Skin Beauty,3040 E Verbena Dr,,Phoenix,AZ,85048,"3040 E Verbena Dr, Phoenix, AZ 85048",WHOLESALE,NONE,U,,,,,33.305674,-112.017968
Restore Hyper Wellness - Norterra (AZ013),2450 W Happy Valley Rd.,Ste 1142,Phoenix,AZ,85085,"2450 W Happy Valley Rd., Phoenix, AZ 85085",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(623) 201-8603,,33.714135,-112.111638
Restore Hyper Wellness - North Scottsdale (AZ001),18560 N Scottsdale Rd.,Ste 170,Phoenix,AZ,85054,"18560 N Scottsdale Rd., Phoenix, AZ 85054",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(480) 597-9061,,33.654357,-111.925882
Skin by Pemika,7000 E. Mayo Blvd,#1062,Phoenix,AZ,85054,"7000 E. Mayo Blvd, Phoenix, AZ 85054",WHOLESALE,NONE,D,,,,,33.656824,-111.929711
SkinSpirit Biltmore,4859 N 20th St,Ste B26,Phoenix,AZ,85016,"4859 N 20th St, Phoenix, AZ 85016",MEDICALSPA,NONE,E,SkinSpirit National Account,11038393,(602) 669-3850,https://skinspirit.com,33.507332,-112.037274
SkinSpirit Paradise Valley,12650 N. Tatum Blvd,Ste 103,Phoenix,AZ,85032,"12650 N. Tatum Blvd, Phoenix, AZ 85032",DOCTOR,NONE,E,SkinSpirit National Account,11038393,,www.skinspirit.com,33.603552,-111.978962
Tocaloma Spa & Salon,11111 N 7th St,,Phoenix,AZ,85020,"11111 N 7th St, Phoenix, AZ 85020",WHOLESALE,NONE,N,,,,,33.593827,-112.063466
XOXO Nurse Colette,4425 N 24th St,Ste 100,Phoenix,AZ,85016,"4425 N 24th St, Phoenix, AZ 85016",MEDICALSPA,NONE,E,,,,,33.501247,-112.029612
Massage Envy - Prescott - 02-1048,120 E. Sheldon St,,Prescott,AZ,86301,"120 E. Sheldon St, Prescott, Az 86301",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,34.545615,-112.469053
Z Brow Bar,218 Wt Goodwin St #10C Ste 204,,Prescott,AZ,86303,"218 Wt Goodwin St #10C Ste 204, Prescott, AZ 86303",MEDICALSPA,NONE,D,,,,,34.540291,-112.470985
GlowCo Med Spa & Wellness,18846 E Flintlock Dr,,Queen Creek,AZ,85142,"18846 E Flintlock Dr, Queen Creek, AZ 85142",MEDICALSPA,NONE,N,,,(480) 770-2633,,33.282194,-111.687741
Massage Envy - Queen Creek - 02-0595,21582 S Ellsworth Loop,Ste 110,Queen Creek,AZ,85142,"21582 S Ellsworth Loop, Queen Creek, Az 85142",MECLASS,NONE,A,Massage Envy Franchising,11041861,,,33.252028,-111.638245
About Face Health & Wellness,14202 N Scottsdale Rd,Ste 103,Scottsdale,AZ,85254,"14202 N Scottsdale Rd, Scottsdale, AZ 85254",MEDICALSPA,NONE,U,,,,,33.616526,-111.926989
Amy Lorentzen Amyzing Aesthetics,Skin Therapy Inc,8701 E Vista Bonita Dr Ste 210,Scottsdale,AZ,85255,"SKIN THERAPY INC, Scottsdale, AZ 85255",WHOLESALE,NONE,U,,,,,33.696349,-111.892241
Caniglia Md Skincare,7102 E. Acoma Dr,,Scottsdale,AZ,85254,"7102 E. Acoma Dr, Scottsdale, AZ 85254",DOCTOR,NONE,U,,,,,33.618688,-111.928683
Cassidy Schade,5115 N. Scottsdale Rd.,Ste 15,Scottsdale,AZ,85250,"5115 N. Scottsdale Rd., Scottsdale, AZ 85250",MEDICALSPA,NONE,E,,,,,33.581777,-111.930588
Chic Skincare Studio,7337 E Shea Blvd,Ste 110-2,Scottsdale,AZ,85260,"7337 E SHEA BLVD, Scottsdale, AZ 85260",WHOLESALE,NONE,E,,,,,33.581493,-111.923509
"David A. Hecht, Md",20201 N. Scottsdale Healthcare Dr.,Ste. 250,Scottsdale,AZ,85255,"20201 N. SCOTTSDALE HEALTHCARE DR., Scottsdale, AZ 85255",DOCTOR,NONE,D,,,,,33.670779,-111.920416
Glow Up Aesthetics,"8151 East Indian Bend Road, Suite 105A",,Scottsdale,AZ,85250,"8151 East Indian Bend Road, Suite 105A, Scottsdale, AZ 85250",MEDICALSPA,NONE,U,,,,,33.536443,-111.904596
Laser Options by Jen,10505 N 69th St,Ste 101,Scottsdale,AZ,85253,"10505 N 69th St  , Scottsdale, AZ 85253",MEDICALSPA,NONE,U,,,,,33.580532,-111.932174
Massage Envy - Carefree - 02-0010,"32607 North Scottsdale Rd., Ste. #101",,Scottsdale,AZ,85262,"32607 North Scottsdale Rd., Ste. #101, Scottsdale, AZ 85262",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.780758,-111.924187
Massage Envy - Scottsdale Seville - 02-0,"7001 N. Scottsdale Road, Ste. 158",,Scottsdale,AZ,85253,"7001 N. Scottsdale Road, Ste. 158, Scottsdale, AZ 85253",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.539201,-111.922918
Massage Envy - Scottsdale Thomas - 02-10,2765 N Scottsdale Rd,Ste 101,Scottsdale,AZ,85257,"2765 N Scottsdale Rd, Scottsdale, Az 85257",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.479367,-111.924723
Massage Envy - Shea - 02-0001,"8752 East Shea Blvd., Ste #C-3B",,Scottsdale,AZ,85260,"8752 East Shea Blvd., Ste #C-3B, Scottsdale, AZ 85260",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,33.583259,-111.89277
Millennium Day Spa & Salon,7609 East Pinnacle Peak Road,Suites 11 & 12,Scottsdale,AZ,85255,"7609 East Pinnacle Peak Road, Scottsdale, AZ 85255",WHOLESALE,SILVER,D,,,,,33.697532,-111.915686
Perfecta by Marina Stejar,13802  N. Scottsdale Rd.,Suite 45,Scottsdale,AZ,85254,"13802  N. Scottsdale Rd., Scottsdale, AZ 85254",MEDICALSPA,NONE,N,,,(480) 764-9502,,33.612236,-111.927177
Pure Skin and Body Studio,8560 E. Shea Blvd,Unit 115,Scottsdale,AZ,85260,"8560 E. Shea Blvd, Scottsdale, AZ 85260",MEDICALSPA,NONE,U,,,,,33.574617,-111.903703
Rejuvent Medical Spa & Surgery,9155 E Bell Rd,,Scottsdale,AZ,85260,"9155 E BELL RD, Scottsdale, AZ 85260",DOCTOR,DIAMOND,A,,,,,33.63926,-111.884435
Restore Hyper Wellness - Gainey Village (AZ006),8977 N Scottsdale Rd.,Ste 503,Scottsdale,AZ,85253,"8977 N Scottsdale Rd., Scottsdale, AZ 85253",DOCTOR,NONE,D,Restore Hyper Wellness - Parent Account,11061787,(623) 404-2213,,33.567046,-111.925467
"Robert Meger, Md",8096 N 85th Way,,Scottsdale,AZ,85258,"8096 N 85th Way, Scottsdale, AZ 85258",DOCTOR,SILVER,D,,,(602) 957-6000,,33.509549,-112.009437
Skin Awakened LLC,Quiet Center,3301 N Miller Rd Ste 16,Scottsdale,AZ,85251,"Quiet Center, Scottsdale, AZ 85251",MEDICALSPA,NONE,D,,,(480) 353-1443,,33.486073,-111.917278
Skin fix Studios,4032 N Miller Rd,#106-108,Scottsdale,AZ,85251,"4032 N Miller Rd, Scottsdale, AZ 85251",MEDICALSPA,NONE,U,,,,,33.494627,-111.917736
SkinSpirit - Nordstrom Scottsdale,7055 E Camelback Rd,Fashion Square Mall,Scottsdale,AZ,85251,"7055 E Camelback Rd, Scottsdale, AZ 85251",DOCTOR,NONE,None,SkinSpirit National Account,11038393,,,33.500999,-111.929668
